µA1,µA2,µA3,µA4,µA5,µA6,µA7,µA8
-0.0008321253519528,-0.0036703774253413,0.0,0.0,-0.0005539608321274,-0.0011662603616984,-0.001224791278903,-0.0004674784585926
-0.0007573318420575,-0.0036052346903146,-0.0002047614996486,-0.0011556282061717,-0.0001612949051772,-0.0011238128323033,-0.0003646659151073,-0.0006451415772146
-0.0001994620408855,-0.0040114950298063,-0.0006086692791797,0.0,-0.0002127106877934,-0.0008493500445927,-0.0013401391537771,-0.0003210110053389
-0.0001176182801524,-0.0058475603865075,-0.0010118470527231,-0.0002322194632142,0.0,-0.0014101847467061,-0.0003989359053472,-0.0002320545415083
-0.0009950017556548,-0.0053042763662934,-0.0009431852959095,-0.0011744501534849,-0.0007248017936944,-0.0010116460831148,0.0,-0.0001653097569942
0.0,-0.0057105095088768,-0.0008702278137206,-0.0002086162567138,-0.0002384185791014,-0.0010948432119268,-0.0004967053731282,0.0
-0.0008106231689452,-0.0065949655275549,-0.0007987022399901,-0.0006735324859619,-0.0016689300537107,-0.0011764074626721,-0.002443790435791,0.0
-0.0002365093678235,-0.0070011986701756,-0.0007257447578012,-0.000661372905597,-0.0007057096809146,-0.0009019767228317,-0.0005578816247483,-0.0001978769432753
-0.0001449603587388,-0.0064579146500305,-0.0001802458427846,-0.0001730921212583,-0.0016784761101004,-0.0003842287696897,-0.0011110484289626,-0.0006365880835801
-0.0005235850040623,-0.0092476543232479,-0.000583423616328,-0.0006376527153515,-0.000233739229296,-0.000945063471803,-0.001123519496939,-0.0024683284896477
0.0,-0.0087002403464789,-3.36570794528535e-05,-0.0011023349771093,-0.0002243805296854,-7.45542363386024e-05,-0.0001916441027962,-0.0023981953078105
-0.0022439422534378,-0.0095887719280255,0.0,-0.0001374416342187,-0.00072929378672,-0.0020586646293067,0.0,-0.0018933391160174
0.0,-0.0095181951095098,-0.0003637909147372,-0.0006021238959765,-0.0002430979289064,-0.000234481077436,-0.0008461634013685,-0.001942415223731
-0.000617979094386,-0.0099237489918133,0.0,-0.0001130101736634,-0.0007057096809145,-0.0012721529377525,-0.0005721813067793,-0.0017475977074354
-0.0005264300853013,-0.0098573021300126,-0.0006896814077413,-0.000578403705731,-0.0007248017936942,-0.0013504514323644,-0.0022888416424393,-0.0017094716895371
-0.0006675720214843,-0.0102635352728317,-0.0006123022599652,-8.94069671630755e-05,-0.0007152557373044,-0.0014336485611764,-0.0001192092895507,-0.0002086162567138
-0.0008106231689452,-0.0116248284499566,-0.0005364418029783,-7.74860382079991e-05,-0.0002384185791013,-0.0010383756537185,0.0,-0.0015795230865478
-0.0007133465260266,-0.0110773872764311,-0.0004590626552021,-0.0010190007742494,-0.0007057096809147,-0.0011215727825305,-3.33529897034168e-05,-0.0005555048119276
-0.0006217975169419,-0.0114877775729474,-0.0003862395797938,-0.0010075571481138,-0.0002479646354912,-0.0011998712771424,0.0,-0.0009942159522324
-0.0010004221622654,-0.0109396571390268,-0.0003081159900032,-0.0005184434258007,-0.0011874135457024,-0.0006878223732987,-0.0007619921701156,-0.0018722820418938
-0.0004263458324996,-0.0118227546371581,-0.0003499759385381,-0.0005062885293554,0.0,-0.0004133595855881,0.0,-0.0008484745436504
-0.0012902679370315,-0.0122344490607779,-0.0004275937455766,-0.0002566509237695,-0.000172320725058,-0.0005795283129069,-0.0010518835970749,0.0
-0.0007161916072657,-0.011687035084367,-0.0005588606612747,-6.07744822266922e-06,-0.00046615780586,-0.0005732864266856,-0.0001916821462906,0.0
