µA1,µA2,µA3,µA4,µA5,µA6,µA7,µA8
-0.0044107437133786,0.0,0.0,-0.0011324882507324,-0.0003576278686522,-0.0013709068298337,-0.0012040138244627,-0.0006854534149169
0.0,-0.0014401739463205,-0.0021887826733291,0.0,-0.0028706078107157,-0.0027896797594922,-0.0006761518307029,-0.0025249610189348
-0.0012071104720234,-0.0009440118446941,0.0,-4.74974513053894e-05,-0.0004672522967059,-0.0050781333508589,-0.0005159410648046,-0.0006936897989362
0.0,-0.0018513105656321,-0.0021621734688531,0.0,-0.0010970602466174,-0.0051580320729275,-0.0007016970359176,0.0
-0.0013326445853898,-0.0050770945386944,-0.0012413116663252,-0.0046213429872359,-0.0012248863876389,0.0,-0.0011275749334368,-0.0024474426112487
0.0,-0.0001681142015395,-0.0004276183873856,-0.0003854471738968,0.0,0.0,-0.0004936714044536,0.0
-1.39239189327345e-05,-5.60380671799088e-05,-0.0009372680594671,-0.0015589938659084,0.0,-0.0001417405490804,-0.0022308514870314,-0.0021246816051696
-3.35858203470707e-05,0.0,0.0,0.0,-0.001769105438143,-0.0071598430319377,0.0,0.0
0.0,-0.0037001445889473,-0.0004256726242601,-0.0006686168489977,-0.0013303360901773,-0.003688202317183,-0.0028348003979772,0.0
-0.0025928020477294,-0.003814697265625,-0.003857272011893,-0.0040680170059204,-0.0005364418029785,-0.0058710575103757,0.0,-0.002637505531311
-0.0020563602447509,-0.0033378601074218,-0.002920627593994,0.0,-0.0020861625671386,0.0,-0.0029504299163818,-0.0001639127731323
0.0,-0.0001145526766777,-0.0020606925577987,-0.0021328014554455,-0.0074911513365805,-0.0058088044170288,0.0,-0.0035060365917161
-0.0007842027116566,-0.0032233074307441,-0.0014474665346953,-0.0031720119295641,-0.0018071732483804,-0.0042445123350867,-0.0011658703442662,0.0
-0.0014983905794061,0.0,-0.0020556448911873,-0.0018770327232511,0.0,-0.0026795459702878,-0.0019353961990231,-0.0028026309408257
-0.0035414974218124,0.0,-0.0011942043094441,-0.0005050987190695,-0.0042515072329851,-0.0043828863646397,-0.0029451656478508,0.0
-0.0028958042139297,-0.0003083805652142,-0.0033698084904996,0.0,-0.005693953495251,-0.0026901981487064,-0.0044458103042973,-0.001124664606119
-0.0025547252653204,-0.0008975221187432,-0.0006010192759439,0.0,-0.0024883543133348,0.0,-0.0042634868576171,0.0
0.0,0.0,-0.0007323604742329,-0.0006931368261575,0.0,-0.000165426172316,-0.0026488269213584,-0.0010319519788026
0.0,0.0,-0.0010728087675357,-0.0005784289290506,-0.0002928843189557,-0.0014240310216943,-0.0020003353711215,0.0
-0.0002057772609478,-0.0030948192437565,0.0,-0.0014181092954506,-0.000917625388115,-0.0026444793793692,-0.0075382328079097,-0.0026132913226999
-0.0020478432574531,-0.0002245517254104,0.0,0.0,-0.0005730491554177,-0.0042776865918841,0.0,0.0
0.0,0.0,-0.0038847163169791,-0.0009908808538821,-0.0020154954176837,0.0,-0.0038497638565434,-0.0031273806705721
0.0,-0.0008414269863217,-0.0005001768419878,0.0,-0.0045319421342051,0.0,-0.0022369289352539,0.0
-0.0021131258937603,0.0,-0.0023608461072309,0.0,-0.001326342952289,0.0,-0.0001472568557613,-0.001564249574653
-0.0015710060992498,-0.0022861477060716,-0.0018373295814583,0.0,-0.0005049295613885,-0.0026204073583183,-0.0028259563583,0.0
-0.005581551273797,-0.0015285495595533,0.0,-0.002292852871951,-0.0005168643490451,0.0,-0.0007503223282231,-0.000933941155886
0.0,-0.0030526480302677,-0.0027838564763633,0.0,-0.0001722881163478,-0.0061996153939067,-0.0005679988815431,-0.0011696206033942
