µA1,µA2,µA3,µA4,µA5,µA6,µA7,µA8
-0.0024586915969848,-0.0060796737670898,-0.0062063336372373,-0.009320676326751,-0.0092610716819759,-0.0006471361432753,-0.0061591466267903,0.0
0.0,0.0,0.0,-0.0056297067203552,-0.0143474583940886,-0.0063924983675987,-0.0070508491868773,-0.0058012399890949
-0.0050662492867559,-0.0096314252004956,-0.0034897893783634,-0.0036984201869918,-0.005530690638503,0.0,-0.0035985140129923,-0.0103726556784853
-0.0070170559570399,0.0,-0.0063122788247105,-0.0071841358510762,-0.0153976834826585,-0.0088996994163596,0.0,-0.0150338571818771
-0.0093686574951434,-0.0018408604932771,0.0,0.0,-0.0123773486454054,-0.0098735585239118,-0.0054828165461974,-0.0079994332507392
0.0,-0.0070998362230301,-0.0044877889225958,-0.0024682642912501,-0.0035370915096217,0.0,-0.0028047165664439,-0.0013409652011206
-0.0036837325363194,-0.0074727433101011,-0.003462882918453,-0.0013989329965782,-0.0019472681469779,0.0,-0.0067778190360443,-0.005035377329553
0.0,-0.01123020047089,-0.0034243494155814,-0.0017852071323423,-0.0151521210985554,-0.0053478579502552,-0.0002573602591751,-0.0087429045165387
-0.0035749544622376,-0.0003629029379217,-0.0126987069961613,-0.0017612692317918,-0.0173026079816417,-0.0145600934047251,-0.0009113169652871,-0.0084267393343469
-0.0042766332626342,-0.0083670020103445,-0.0107213854789732,-0.0133290886878961,-0.0142827630043013,-0.0031888484954832,-0.0096528168676463,-0.0074724940692667
-0.0063925981521606,-0.002451241016387,-0.0144019722938536,0.0,-0.0064695874849937,-0.0050365924835202,0.0,-0.0125721973531375
-0.0074519048212096,-0.0037796198739661,-0.0152856737258844,-0.0073284390964543,-0.0015423938748407,-0.0132156710606066,-0.0061614476361367,-0.0048230225836627
-0.0101314653875306,0.0,-0.0016718477127141,0.0,-0.0122759496055834,-0.0038312573451546,-0.0053851744615679,-0.0155933213296937
-0.0061311608812579,-0.0062065226658494,0.0,-0.0024096559104838,-0.0040231304380202,-0.0068300531605544,-0.0060177244832523,-0.0002273621885544
0.0,-0.0084867783857334,-0.0063251684361407,-0.0029374333076235,-0.0119700502394391,-0.0026087660490465,-0.0121371919318189,-0.0053522857915962
-0.0028328041872833,-0.0099310568498614,-0.0108409692591716,-0.0022415480495261,-0.0131433734259211,-0.0026364426911873,-0.0154202258611914,0.0
-0.0156467471070241,0.0,-0.0031368192615206,0.0,-0.009050154982711,-0.0098592473765545,-0.0217783669033618,-0.0040571599241212
-0.0104023201856762,-0.0074177514761684,-0.0030851806513963,-0.0067737742534104,-0.0085459396359487,-0.0014139513950793,-0.00572213388987,-0.0015658040544663
0.0,0.0,-0.0085973297245798,-0.0057564466260362,-0.002590194829582,0.0,-0.012099138022193,-0.0085214055348723
-0.0032528328975458,-0.0105269164089492,-0.0118835512218775,0.0,-0.0010130958768626,-0.0008321824171944,-0.0127325227396021,-0.0036458638742018
-0.0011754298449815,0.0,-0.0165771673375077,0.0,-0.0084831785200784,-0.0053575702008018,-0.0128924151127148,-0.0011413929459937
-0.0048327183483774,-0.0082828371989311,0.0,-0.0043475788315892,-0.0063186415991387,0.0,-0.0145073968860128,-0.0099801325379768
-0.0003711295047974,-0.0087373047824554,-0.0114814695300753,-0.0024911704377135,-0.0085435155021201,-0.015857118119915,-0.0079919475150059,0.0
-0.0025852608760612,-0.0087149352077766,-0.0037773195324243,-0.0021844828079979,-0.0060000178230703,-0.0089384141066475,0.0,-0.0102163994217951
-0.0062299037219344,-0.0091694027913009,0.0,-0.0035467252319936,-0.0005954971948017,0.0,-0.0145120001944914,-0.0010362082787432
-0.0094103550671271,-0.0040866702067432,-0.0125098993128825,0.0,-0.0051066804887057,-0.003795884757668,-0.0042068255206615,-0.0036760648140858
0.0,-0.0183694153781584,0.0,-0.0049283381351965,-0.0016095084932497,-0.0207626364990836,-0.0053216474849368,-0.0022444774918348
-0.0015011988580224,-0.0083714257925735,-0.0013611473453541,-0.0116746006016095,-0.0071849669135772,-0.0144053289356327,-0.0140629575210587,-0.0005875866490354
-0.0014551915228366,-0.0105113256722675,-0.0153546441449886,-0.0054120642340012,-0.0112428024294763,-0.0096749475536243,-0.010428349162139,-0.0037284908638166
0.0,-0.0176794737819952,0.0,-0.0011910720617422,-0.0083544012916984,-0.001887128515564,-0.0225080354903817,-0.0050518322597867
-0.0056543950546066,-0.0157497555745041,-0.0169184301630065,0.0,-0.0095063915887229,-0.0040719283526827,-0.0226702155076484,-0.0015936870151725
-0.0020544723363435,-0.0149585574137749,-0.0003536713452395,-0.0034079362240175,-0.0091597963334325,-0.0021269547039565,-0.0152274924276956,-0.0016109391803979
-0.0021683174931908,-0.0106446534152682,-0.0097076155189425,-0.0070169703591778,-0.0081362170961553,0.0,-0.0263574998032386,-0.001252235464104
-0.005143770015912,-0.008238552003092,-0.0047567084594558,-0.0058578366093982,-0.0108380803239173,-0.0050665327465905,-0.0145995907312682,0.0
-0.0046581522197506,-0.0158429231431338,-0.0079102290776066,-0.0032667968728081,-0.0092473673940342,-0.0058179574822888,-0.0104716377500507,-0.0157935137418041
-0.004520963075659,-0.008380404493584,-0.0075604876107607,0.0,-0.0118526768564504,-0.0019703827683607,-0.0168579533970727,0.0
-0.0060619032018609,-0.0002491494129226,-0.0097603339125054,0.0,-0.0140766611921924,-0.0055828304532779,-0.0060549248432486,-0.006258749313056
-0.0067020397788533,0.0,-0.0081693223263651,-0.0095546524140182,-0.0167912488298785,-0.0006565242074423,-0.0100308072483403,-0.0077382913635422
-0.0036691684120644,-0.0059204399943919,-0.010599518039574,0.0,-0.018464898554762,-0.0035555373566841,-0.0140284577556863,-0.0077191798482089
-0.0024013719395888,-0.0048773530244457,-0.0115116380210961,-0.0081010693231387,-0.0183183110766522,-0.0033971128498741,-0.0113293542543442,-0.0072912544425791
-0.0034688914128424,0.0,-0.0132361876635491,-0.0052637814383065,-0.0147019297916455,-0.0033169361855282,-0.0072032207247839,-0.0030386955787142
0.0,-0.0059086185107928,-0.0047776605352352,-0.0027913605556235,-0.0088419048946316,-0.0031601018800637,-0.0165720606229385,-0.0092001248151657
-0.0044200596140581,-0.0100879977868495,-0.0022106757538601,-0.0032919327782132,-0.0129741274304258,-0.0024838787679639,-0.0232947190872293,-0.0078085889005196
0.0,-0.012025143055673,-0.0039572607622377,-0.0028533873514131,-0.0195032601671598,0.0,-0.0244118280197081,0.0
0.0,-0.0159523602073559,0.0,-0.0054146283738576,-0.0135475153607932,0.0,-0.0183980060629138,-0.008792063454166
-0.0028759241104122,-0.0158410805922264,0.0,-0.007584691047668,-0.0095739960670468,-0.0018577774365742,-0.0352545099115815,0.0
-0.0174492597579952,-0.010916819939244,-0.0146776437759398,-0.0080572707312442,0.0,-0.0031891465187072,-0.0263682888356919,-0.006437301635742
-0.016359161236323,0.0,-0.0190890132216734,0.0,-0.0021735459620899,-0.0084000504769694,-0.0212911237702945,-0.0012111850082873
-0.0131451379274945,-0.0119909438161296,-0.0024282635422419,0.0,-0.0051683438120079,0.0,-0.0276766192452843,-0.0059413723647592
0.0,0.0,-0.0106692456811048,-0.000667418123661,-0.0098678390521832,-0.0053076876661165,-0.022597332049728,-0.0064466603353525
-0.0067073771575806,-0.0060673301163813,-0.0055432747630418,-0.0017638357918812,-0.0108666217636273,-0.00431843602488,-0.0338532366476025,-0.0065845870241242
-0.003902249612438,-0.0091180993833128,-0.0064968634815857,-0.0019689050871758,-0.0118252171179205,-0.0068896213786839,-0.0420337804109787,-0.0064092255369104
-0.0051949199961379,-0.0075754327609325,-0.0109076357275854,-0.0052110899673101,-0.0123471626711614,-0.0078077183702599,-0.0431577894496496,-0.0073816172525377
-0.0050938833737742,-0.0074860201073931,-0.0097310839919365,-0.0067917399064734,-0.015258518568075,-0.0063746846475015,-0.0409413395060659,-0.0040722079575059
-0.0018798600649458,-0.007717749283002,-0.0077330769272512,-0.0103483207567456,-0.017180432812036,-0.0180667959890948,-0.0416073130877785,-0.0045108608901498
-0.0108033418655393,-0.0080833068260761,-0.0135749578475943,-0.0079879537224742,-0.0131726264953604,0.0,-0.0374873785979362,-0.0022649765014646
-0.00058114528656,-0.0087618827819806,-0.0110417604446402,-0.0065667554736108,-0.0120155951556027,-0.0064892570177713,-0.032420232753074,0.0
0.0,-0.0078161381399961,-0.0090158282546317,-0.008259504284066,-0.0082462074180287,0.0,-0.0497589454745875,-0.0035953707993028
0.0,-0.0113857274230271,-0.013812750694341,0.0,-0.0058765872381616,-0.0079931184882298,-0.0413668130798259,-0.0116634182631968
-0.010738879542079,-0.007958454662066,-0.0125169896691414,-0.0097012470974275,-0.0126026404007002,-0.0156673527950874,-0.0339080400331125,-0.0064466603353526
-0.0130750327040832,-0.0049852765650763,-0.0135899018077192,-0.0047179909985584,-0.0131245859539413,-0.0104381850942463,-0.0383737302689842,-0.0045580291017611
-0.0113799015523337,-0.0075592086738048,-0.0050067473622006,-0.0130292919833066,-0.0065729960665353,-0.0126168915048748,-0.0423863543571201,0.0
-0.0051329858666816,-0.0012481704693932,-0.0089406824499972,-0.014244918941078,-0.0085552554167734,0.0,-0.0463762171108065,-0.008992892390559
-0.0065436220860903,0.0,-0.0004923640517507,-0.007361709322136,-0.0070260652779205,0.0,-0.0517940962722708,-0.0021410135862727
-0.0025162839197683,0.0,-0.008627146598882,-0.0071035929067835,-0.0075174680472722,-0.0011287047527727,-0.0456697907996443,-0.0062036366822818
-0.0054766409033372,-0.0019811276495248,-0.0006556653588387,-0.0076113592399902,-0.0095943589173304,-0.0040290913780429,-0.0426248477300493,0.0
