µA1,µA2,µA3,µA4,µA5,µA6,µA7,µA8
-0.003695487976074,-0.0064633786678314,-0.0107280910015106,-0.0027120113372802,-0.0235050254397918,-0.0036805868148803,-0.0190734863281249,-0.0068098306655883
-0.0146582024171946,-0.0161413663590793,-0.0189396333007608,0.0,-0.0121494660723122,0.0,-0.0174903931717077,-0.0052750547183677
0.0,-0.0006224399839993,-0.0091931629867758,-0.0003885652404278,0.0,0.0,-0.0092124876876671,-0.0002681772457435
-0.0113459966466893,-0.0122733603201739,0.0,0.0,-0.0122047269555465,-0.0029013110097371,-0.0166924201036461,0.0
-0.0006593888658492,-0.0037097007877922,-0.0124058856819328,-0.0070544622228612,0.0,-0.009299979476965,0.0,0.0
-0.0184140974622757,0.0,-0.0116403310103103,-0.0120190241052638,-0.0260178500442738,-0.0133259436797728,-0.0066850694035806,-0.0062493116105784
0.0,-0.0034137711449637,-0.0140299298470936,-0.0157683246040983,-0.0060782693280894,-0.0224664258066687,-0.0133810477791666,-0.0170081069219505
-0.0056211138144135,0.0,-0.0016758151884587,-0.0121546327136457,-0.0014222194699358,-0.0016576610505576,-0.00732183495226,-0.0058541714679448
0.0,-0.0199662608793005,-0.0167164751993756,-0.009779876563698,-0.0190081334828083,-0.0069254077970977,-0.0048375125819195,-0.0055183947551993
-0.0139474868774412,0.0,0.0,-0.0106692314147949,-0.0062220626407194,-0.0046253204345698,-0.0043809413909911,0.0
-0.011515617370605,-0.0034421682357788,-0.0047343117850164,-0.0010132789611816,-0.0148451328277583,-0.0135898590087888,-0.0053544839223225,-0.003629922866821
0.0,-0.0026238994905725,-0.0185694745076551,0.0,-0.019225199680982,-0.011289771646261,-0.0177725160028784,-0.0019917904864993
-0.0055368756875391,0.0,-0.0040462307099783,-0.0047265068412967,-0.0143997672583077,-0.0103586353361607,-0.0225599602951357,-0.0049938738811757
-0.0176505302914935,-0.0102590607250062,-0.0260243914419686,-0.0092591514914683,-0.0068826944509353,0.0,-0.0020764234325845,-0.0005156586420139
-0.0029790566947938,0.0,-0.01744673564008,-0.0085205692392804,0.0,-0.027133998383616,-0.0168786334976237,0.0
-7.27011177057424e-05,-0.0046680590396033,0.0,-0.0180722722758908,0.0,-0.0021264635970297,0.0,-0.0223425656999335
-0.0068588996401466,-0.0067558153574158,-0.0019046421099285,0.0,-0.0177804998029866,-0.0057517353872789,0.0,-0.0164120604741964
0.0,-0.0003100389481651,0.0,-0.0199589860410623,-0.0002594199031583,-0.0046735618856136,-4.00468707084656e-05,0.0
0.0,-0.0035387181144734,-0.0033540951941781,-0.0138230926285545,-0.036557177081703,-0.0041045767085787,-0.0063495710492133,-0.0206579745281485
-0.0095955774280769,-0.0043647083678204,-0.0073052972474316,-0.0159715514877108,-0.0147493311296287,0.0,-0.0088177439469135,0.0
-0.0041955588397557,-0.0044259067632699,-0.0038358161604267,-0.0157098063937262,-0.0191568221242403,0.0,-0.017488693266522,-0.000712510899187
-0.0139923727659907,-0.0089936532604453,0.0,-0.0233541607975243,-0.0158525620310296,-0.0140690669683892,-0.0085466155713684,-0.0170258313859689
-0.0176522601835292,-0.0129887582110706,-0.0045361588479455,-0.0111714867484616,-0.0231210759748599,-0.0062502469617634,-0.0038661244612894,-0.0130026747930442
0.0,-0.0007713997827896,-0.0094113280294954,-0.0166317875529147,-0.0241907068620497,-0.0175049132832629,-0.0196896311539448,-0.0161320755731665
-0.0192499891201685,-0.0109653877900555,-0.0204853802676859,-0.0144626938261176,-0.0185846175343958,0.0,-0.0040418854051939,0.0
-0.0028207593452316,0.0,-0.022271018251194,-0.0111397935912441,-0.0119377289621811,-0.0128119508240354,-0.0232332000440247,-0.0011827151741501
-0.0069574839209734,-0.0071304731245753,-0.0071190267882126,-0.0280441861925722,0.0,-0.0007015963935816,0.0,-0.0042221811336251
0.0,-0.0006846967153248,0.0,-0.0192253904130568,-0.0093193259090155,-0.004868631632151,-0.0028740275393899,-0.0098943904352684
-0.0015400499770679,0.0,-0.0005129404598847,-0.0092747997349245,-0.0060348305851191,-0.010498529511757,-0.0191472117363706,-0.0070333286809423
-0.0014552859416094,-0.0016346909087945,0.0,-0.0176221416507216,-0.0104530283342168,-0.008824309562338,-0.008687227549957,-0.0171162816959646
-0.0027309875681325,0.0,0.0,-0.0245129539297844,-0.0148605193288286,-0.0092309305347163,-0.0206430139128032,-0.0190828640494826
0.0,-0.0068579105092934,-0.0064746413254482,-0.0135606591636608,-0.0115562592356181,-0.0104494394493023,-0.0226192963757015,0.0
-0.0041974655434609,-0.0005905491628199,-0.0129135407879531,-0.0347565861888173,-0.0090496114362845,-0.0121673626067393,-0.0112101617836092,-0.0024340417903633
-0.0045982066870802,-0.0148277482110479,-0.0222137202460065,-0.0316341292873257,-0.0046357430423102,-0.0129323878775928,-0.0141061638257726,-0.0029702339175407
-0.0126237161230602,-0.009033935104856,0.0,-0.0299400537813672,-0.0052277882589426,0.0,-0.0184331141003573,-0.0020750845033223
0.0,0.0,-0.0072706155713807,-0.02328230903038,-0.0068123499856795,0.0,-0.0170713000087804,-0.0101637358905578
0.0,-0.0265631402883055,-0.0146616866550346,-0.0029915843544996,-0.0087156973873705,-0.0097885752854404,0.0,0.0
-0.0086806636924532,-0.0146685284562407,0.0,0.0,-0.008842488750812,-0.0226832344196733,-0.0319198264719838,-0.0031185336410999
-0.0077967092187856,-0.0025452929548914,-0.0183756734865403,-0.0210536474485037,-0.025585154071447,-0.0242852256633338,-0.005755159335299,-0.0250148586928844
-0.0111143054255043,-0.0163994890014878,0.0,-0.0241521060572394,0.0,-0.0128606222873097,-0.0172305363537125,-0.0197981007650401
0.0,-0.0097163503052455,-0.009340457754955,-0.0062626508591285,-0.0081847991139849,-0.0028190799966956,-0.0301409904403936,-0.0074190520509798
-0.0338911230301226,-0.0013462717650663,0.0,-0.0236046947524058,-0.003450027546165,-0.0067176631673657,-0.0077996079847306,-0.0126081085935512
-0.0052041217663336,-0.0056303877074959,-0.0106088278566378,-0.0162056570348215,-0.0026123098005427,0.0,-0.0126041755300063,-0.0212098948404285
