µA1,µA2,µA3,µA4,µA5,µA6,µA7,µA8
-0.0021878433166669,-0.0005890369339195,0.0,0.0,-0.001739063235548,-0.00127623559414,0.0,-0.0007105763874994
-0.0013089625101559,0.0,-0.0004277515396159,-0.0001075299367848,-0.0001682853972643,-0.0011079501968756,-0.001318492405491,-0.0005609893677088
0.0,-0.0012606567832029,-0.0004074933788737,-0.0003007528445966,-0.0005329322906245,0.0,-0.0020289546625074,0.0
0.0,0.0,-0.0019367532028506,-0.0004911368402341,0.0,-0.0012183154467493,-0.0007675844244658,-0.0026194223513205
0.0,-0.0009814878770459,-0.0032289826776832,-0.0016546303716797,-0.0007677008397876,0.0,0.0,-0.0005594920367002
-0.0011622905731201,0.0,-0.0036855538686116,0.0,-0.0001788139343261,-0.0007578304835728,-0.0092387199401855,0.0
0.0,0.0,-0.002831220626831,-0.0001390775044758,-0.0014901161193847,-0.0027503286089215,0.0,-0.0007152557373046
-0.0014416291378438,-0.0008066514662156,-0.0017380710535993,0.0,-0.0023317406885325,0.0,-0.0023649772629141,-7.62908409039087e-05
-0.0005451923546691,-0.0004251778591424,-0.0026726726597795,0.0,-0.002198212314397,-0.0005442832064415,0.0,0.0
-9.50516706374749e-05,0.0,-0.00169853740319,-0.0005329322906245,-0.0016128349212894,0.0,-0.0002850979466709,-0.0007136959540362
-0.0008414650298161,-0.000340094573193,0.0,0.0,-0.0005469703400403,-0.00164888384958,-0.0008552938400129,0.0
-0.0016221936208999,-0.0007327890327639,-0.0006703796313675,-0.0007853889191417,0.0,0.0,-0.0010520547927995,-0.0003365993271494
-0.0011765140845707,-0.0025489759422364,-9.63033016016662e-05,-0.0018512535003908,-0.0033126144445701,-0.0027882321575617,0.0,-0.0009864012324222
-0.0010840012691914,-0.0015032273950055,0.0,-0.0014829565770921,-0.0029830960556864,-0.0014311850203998,-0.0013302196748554,-0.0016331614460796
-0.0007836109337706,-0.0018942373571917,-0.0018138904124498,-0.0006628106348214,-0.0021667452529072,-0.0029625287944716,0.0,-0.0008702336344867
-0.0008145968119303,-0.0013262033462524,-0.0021934509277343,-0.0002980232238767,-0.0008821487426757,-0.0025629997253417,-0.0022053718566894,-0.0011622905731201
-0.0022848447163899,-0.0002831220626831,-0.0006675720214843,-0.0008940696716307,0.0,-0.0013368470328194,-0.0018477439880371,-0.0012218952178955
-0.0008853191199401,0.0,-9.34582203626494e-05,-0.0002908636815844,-0.0006942776963114,0.0,-0.0008533825166523,-0.0009179057087749
0.0,-0.0004506146069615,-0.0019092578440904,-0.0001859734766185,-0.0017852755263447,0.0,0.0,0.0
-0.0008274460021475,-0.0026506519363278,-0.0013342081730076,0.0,-0.0006212921106056,0.0,-0.0013166663177621,-0.0002641264704096
-0.0010518265318333,0.0,0.0,-0.0007467985495589,0.0,-0.0020315470549082,-0.002042650320474,-0.0017460537276352
0.0,-0.0013463687759769,-0.0016221841100263,-0.0012797593728043,-0.0002804899284176,-0.0023281069629488,-0.0006594269093436,0.0
0.0,-0.002117719645703,0.0,-0.0017776250725103,0.0,-0.0020930144722106,0.0,-0.0028353150579106
-0.00225065741688,-0.0009798968676474,-0.0028491000800083,-0.0017940910765901,-0.0009405630407854,-0.002327632890748,-0.0082125382808346,-0.0028824724722653
-0.0001335283741354,-0.0008082424756136,0.0,-0.0008881179383024,0.0,-0.0016573633599493,-0.0014036777429282,-0.0026011548470705
-0.0008274460021475,-0.0006240940139642,-0.0012209203533527,-0.0006661653632806,-0.001118464467627,-0.0012959353307329,0.0,-0.0030059401300776
-0.0005749893736302,-0.0004417705672841,-0.0025501410242509,0.0,-0.0021633005073733,-0.0007032149713423,-0.0182984887469714,-0.0016268444380844
-0.0003786043656165,-0.0007503021839331,-0.0005492893127972,0.0,-0.000816941803541,-0.0005228590625243,-0.0054204515097153,0.0
-0.0001259731395923,-0.0005679350878762,-0.0018784857340416,0.0,0.0,-0.0002875961313625,0.0,0.0
0.0,-0.0008625981909281,0.0,-0.0031339850211912,-0.0005115328250518,-5.30869789751587e-05,-0.0023213482040257,-0.0040059310421607
0.0,-0.000680274744248,0.0,-0.0025667565204086,-0.000580989376168,-0.0007716688046431,-0.0038689707775304,-0.0001645109391461
-0.0026446139952312,-0.0005117979864766,-0.0006287146067449,-0.0020426066073417,-0.0014796360250316,-0.0029748301282782,-0.0029035672214934,-0.0025602171288056
0.0,0.0,-0.0005274946848855,-0.0018334029135813,-0.0021450904192034,0.0,-0.0049373753446745,-0.0011033352008697
-0.0015582889318465,-0.0006222689989952,0.0,-0.0013796379789703,-0.0009933553103889,-0.0005197362042963,-0.0035170365099538,-0.0010715115682354
-0.0008258968591689,0.0,-0.0017245245216728,-0.0013224392508459,0.0,0.0,-0.0028424124723506,-0.0010742556436785
-0.0019475453889443,-0.0007433033035153,0.0,-0.0007495329257147,-0.0004434458397321,-0.0021971829945302,-0.005240698647842,-0.0010424922887549
0.0,0.0,-0.000517677537771,-0.0010167694517876,-0.0014665767072546,-0.0018231774015595,-0.0101331964921714,-0.0019694437677716
-0.0009284514796511,-0.0008498982187816,-0.0013551036968647,-0.0010892613302747,0.0,-0.0024683570222685,-0.0225378974853068,-0.0015046555277081
-0.0001505381071493,-0.0001481952539248,-0.0012291689186288,-0.0009988699876952,-0.0011233048229351,-0.0011406771128916,-0.0136056127525434,-0.001239514111217
0.0,-0.0013538409218806,-0.000626412838681,-0.001385315803319,-0.0026232728486607,-0.0007666715199208,-0.015165778875893,-0.0009743726947259
-0.0021387196545854,0.0,-0.0013349748002833,-0.0012949244607396,-0.0012622179251676,-0.0003926659269501,-0.0162511412166839,-0.0004708126991332
-0.0014375590319379,-0.0009214531836714,-0.0018148316136688,-0.0012482070496759,0.0,0.0,-0.0229413012620941,0.0
-0.0006381320633803,-0.0006966529534852,-0.0016889707712875,-0.0011578157070967,0.0,-0.0025506222744544,-0.0340448774107758,-0.0003926944595709
-0.0003027671482413,-0.0014233269575499,-0.0010850397986578,-0.0010617465401687,-0.0005026668077334,-0.0037317047826945,-0.0259692013801816,-0.0017475977074354
-0.0014853721950202,-0.0016886110755743,-1.29192558647531e-05,-0.0010045478120445,-0.0005503485832984,-0.0011797179467975,-0.0267442091373157,-0.0021863088477402
0.0,-0.0014617252949412,-0.0008395576258673,0.0,-0.0004822916442057,0.0,-0.0344096311457902,0.0
-0.0027347661023392,-0.0017139912863748,-0.0021443239941412,-0.000189313938767,-0.0006521463356121,-0.0006927834451911,-0.0331263848179219,-0.0006100559645488
-0.0015567683214887,-7.62748573492344e-05,-0.0005977830511783,-0.0019564532731467,-0.0002220551210935,-0.0005469931661368,-0.044123224594245,-0.0015357112473651
-0.0007573413529311,-0.0008055411412302,-0.0009489484616037,-0.001764771126856,-0.0001534912333983,-0.001263161947306,-0.044276786381787,0.0
-0.0005411857273429,-0.0015326607161879,-0.0022525728597787,-0.0020432344172147,0.0,-0.0010137329809367,-0.0514781496248038,-0.0004362955223768
-0.0001740700099617,-0.001798405361982,-0.0011806594220536,-0.0018906721379605,0.0,-0.0003690947778522,-0.0532246089023164,0.0
0.0,-0.0025278917779486,0.0,-0.0007450580596921,-0.0010095536708831,0.0,-0.0571991527741692,-0.0012814998626709
0.0,-0.0032618917438476,0.0,-8.94069671628639e-05,0.0,-0.0001788139343261,-0.0618663304580552,0.0
-0.0008141651051118,-0.0035147885776771,-0.0003296626279536,-0.00132797867991,-0.0027212481654714,0.0,-0.0739548874194859,-0.0010998919606208
-0.000556741724722,-0.0033041530930106,-0.0016421206978934,-0.0021290907170622,-0.0002440829121042,-0.0009203213267028,-0.0761925483928964,-0.0014432395497957
-0.0001764599931131,-0.0049856796206654,-0.0010386941950042,-2.33682164053617e-05,-0.001098010145117,0.0,-0.0829401037574512,0.0
-0.000767798558441,-0.0038085673921836,-0.0032976024929582,0.0,0.0,0.0,-0.0936145787846951,-0.0006170654783831
-0.0014971779430237,-0.0045561551744396,0.0,-8.41712312529275e-05,-0.0004020436483078,-0.0009537313816477,-0.0951098382010405,-0.0033565775066428
0.0,-0.0043330373207576,-0.0021031988906444,-0.0016175142710946,-0.0021473269951824,0.0,-0.0981638225751021,0.0
-0.0005530891939997,-0.0050615390085561,-0.0015000222142947,-0.001234991941601,-0.0015068023155132,-0.0020455918274819,-0.10874414467185,-0.0014858087524771
-0.0018310965970158,-0.006759155681112,-0.0018591535214767,-0.0004339381121099,-0.0013542206337054,-0.000100175384432,-0.114344803836374,-0.0026149908080696
-0.0010518265318334,-0.0065343479862757,-0.0026866255958338,-5.14157826162487e-05,-0.0016673702704424,-0.0013510195931616,-0.121120062765111,0.0
0.0,-0.0072656343165428,-0.0035154200785359,-0.0001542473478486,0.0,0.0,-0.129915361232837,-0.0009536514903095
-0.0015848444203202,-0.008491069245037,-0.002923387968531,0.0,-0.0023093922811202,-0.0001893924034743,-0.136682495209788,-0.0016212691639871
-0.0007667000525416,-0.0068385784694606,-0.0013681477341998,-0.00090225853379,0.0,-0.0027850762459009,-0.142150273766871,-0.0012715733639071
-0.0004253928429661,-0.008524166315539,-0.003627684767376,0.0,-0.0015084245510413,-0.0020428999809056,-0.152868657973638,0.0
0.0,-0.0092562983594439,-0.0049336274860282,-0.0005946198167156,0.0,-0.0007046772681565,-0.158824067507823,-0.000572181763747
-0.0006732557195404,-0.0097672839986665,-0.0033882163277403,-0.001217361384456,-0.0016736094035161,0.0,-0.167995306496287,-0.0007629622792215
-0.0018138757671905,-0.0107382993203735,-0.006124839237153,-0.0008190459985946,-0.0005578698011719,0.0,-0.188267064630353,-0.0004132664791415
-0.0014972174540162,-0.0105152595598278,-0.005999284355205,-0.000888807699084,-0.0023015309125184,-0.0009738869266584,-0.179827208555314,0.0
0.0,-0.0122149303389443,-0.003974982052176,-0.0005417037755248,0.0,0.0,-0.198353218018337,-0.0012731761671602
-0.0007432747708946,-0.0129460696466988,-0.004326445647541,-0.0015651397924206,-0.0015084245510414,-0.0003459152278288,-0.209475550699896,0.0
-0.0031834986290902,-0.0122491644184826,-0.0049176639832595,-0.0006899872483562,-0.0013463592651035,0.0,-0.217373273261221,-0.0014585305081992
-0.0006311986365347,-0.0129999655843465,-0.005518521883268,-0.0013127288160966,-0.0016736094035161,-0.0007503936597751,-0.227531027796771,-0.0014024924410193
-0.0006872367037147,-0.0146877893973907,-0.00587151506621,0.0,-0.000557869801172,0.0,-0.234964379833027,-0.0012622260773449
0.0,-0.0139917113260097,-0.0059861902439172,-0.0009686254096864,0.0,-0.0014187988337858,-0.245742015272613,-0.0006451225554673
-0.0002313139565313,-0.0137727543194224,-0.0061009659954913,-0.0009985275962467,0.0,0.0,-0.254141888217089,-0.0014585305081992
-7.10462257016986e-06,-0.0159551147447163,-0.0064637765092506,-0.0010995558998467,-0.0008414840515633,-0.000322646875596,-0.262416001492616,-0.0023561667574255
0.0,-0.0166904235560239,-0.0068171794322493,-0.0006526209282039,-0.0010752232808596,0.0,-0.2751206190381,-0.001739063235548
-7.93952494859695e-05,-0.0159933483933026,-0.0081231311580028,-0.0001964392140505,-0.000591273419559,0.0,-0.286771768271564,0.0
-0.0019868991027275,-0.0176956879882081,-0.0103913088616525,-0.0012340722605583,-0.0001239823177456,-0.0034046825021505,-0.295344594580139,-0.002465269062668
-0.001709408331701,-0.0184297494941779,-0.0059754338670396,-0.0022084020210143,-0.0003552881937497,0.0,-0.302717930938247,-0.0004067039763658
-0.000995636290676,-0.0201199830100554,-0.0091902980953993,-0.0027151413657778,0.0,-0.000855407970496,-0.314019480106066,-0.0002664376126914
-0.0001169837451311,-0.0189662136101867,-0.0105073895522876,-0.0009088210365656,-0.0003552977046233,-0.0010519406623164,-0.335683012722443,-0.002117748178324
0.0,-0.0192265926119016,-0.0099077856711669,-0.0004618860649229,-0.0024761274059898,-3.27554486367343e-05,-0.334124156327847,-7.01331818371842e-05
-0.000433821696788,-0.0199619872506359,-0.0102607472895216,0.0,-0.0012564608672012,0.0,-0.345341002388752,0.0
-0.0007582711987197,-0.0207125071271594,-0.0110990604578392,-0.0014853721950203,-0.0005316784760604,-0.0013924436643719,-0.35729177228218,-0.0011325173545628
-0.0002980232238769,-0.0224043323538323,-0.011453437382774,-0.0021159648895263,-0.0012218952178954,0.0,-0.370532512912137,0.0
0.0,-0.0217165495822054,-0.012287175589423,-0.00038743019104,-0.001917282740275,0.0,-0.37254460849744,-0.0005066394805908
0.0,-0.0224554190528931,-0.0112112899945483,-6.43485691398382e-05,-0.0016538251657038,-4.918547347188e-05,-0.381509005931723,0.0
-0.0003529712557792,-0.0251146140315137,-0.0120500627357643,-0.0017237907741218,-0.0014058799327661,-0.0033681474936505,-0.393487818974963,-0.0018183685218294
0.0,-0.0248984607438692,-0.0128805982618539,-0.001865263017186,-0.0013783062894853,0.0,-0.407610646046227,-0.0007401742261049
0.0,-0.0251616554047966,-0.0122819699701972,-0.0001121617322221,-0.0008765316207347,-0.0017950252157393,-0.415171229323462,0.0
-0.0002105422086154,-0.0259184807180066,-0.0136001862290094,0.0,-0.0015871270299813,-0.0009070520140783,-0.421644615637301,-0.00159417458731
-0.001580165070515,-0.0261824208243419,-0.0149091634966371,0.0,0.0,-0.0006202421101615,-0.431128020124563,-5.45543709002116e-05
