Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_20mV 200Hz_µA_3.csv: 0.08966444432370269,20.0,200.0,3,0.08966444432370269,0ng/mL
Lowest trough value in cleaned_20mV 200Hz_µA_4.csv: 0.04501401894836832,20.0,200.0,4,0.04501401894836832,0ng/mL
Lowest trough value in cleaned_20mV 200Hz_µA_5.csv: 0.022997983707339187,20.0,200.0,5,0.022997983707339187,100ng/mL
Lowest trough value in cleaned_20mV 200Hz_µA_6.csv: 0.013220402077692539,20.0,200.0,6,0.013220402077692539,100ng/mL
Lowest trough value in cleaned_20mV 200Hz_µA_7.csv: -0.05614893882540212,20.0,200.0,7,-0.05614893882540212,100ng/mL
Lowest trough value in cleaned_20mV 200Hz_µA_8.csv: -0.018816382691191458,20.0,200.0,8,-0.018816382691191458,100ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_1.csv: -0.07427579327832456,20.0,300.0,1,-0.07427579327832456,0ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_2.csv: 0.21728576381910591,20.0,300.0,2,0.21728576381910591,0ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_3.csv: 0.10294700168125526,20.0,300.0,3,0.10294700168125526,0ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_4.csv: 0.07590244679934671,20.0,300.0,4,0.07590244679934671,0ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_5.csv: 0.013588422326046068,20.0,300.0,5,0.013588422326046068,100ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_6.csv: 0.03979943640006112,20.0,300.0,6,0.03979943640006112,100ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_7.csv: -0.10007989373540294,20.0,300.0,7,-0.10007989373540294,100ng/mL
Lowest trough value in cleaned_20mV 300Hz_µA_8.csv: -0.04695674809606715,20.0,300.0,8,-0.04695674809606715,100ng/mL
Lowest trough value in cleaned_30mV 20Hz_µA_2.csv: -0.007021533732302354,30.0,20.0,2,-0.007021533732302354,0ng/mL
