Sentence,mV,Hz,uA,Output,Concentration
Lowest trough value in cleaned_50mV 300Hz_µA_3.csv: 0.2256650518904748,50.0,300.0,3,0.2256650518904748,0ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_4.csv: 0.4433681682653563,50.0,300.0,4,0.4433681682653563,0ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_5.csv: 0.08767763861290079,50.0,300.0,5,0.08767763861290079,100ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_6.csv: 0.21211032850069222,50.0,300.0,6,0.21211032850069222,100ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_7.csv: -0.06938837497071393,50.0,300.0,7,-0.06938837497071393,100ng/mL
Lowest trough value in cleaned_50mV 300Hz_µA_8.csv: 0.009066743393091103,50.0,300.0,8,0.009066743393091103,100ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_1.csv: 0.142989331763213,60.0,80.0,1,0.142989331763213,0ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_2.csv: 0.16187613738219975,60.0,80.0,2,0.16187613738219975,0ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_3.csv: 0.13035718917408487,60.0,80.0,3,0.13035718917408487,0ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_5.csv: 0.04327077750094355,60.0,80.0,5,0.04327077750094355,100ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_6.csv: 0.16869985166174328,60.0,80.0,6,0.16869985166174328,100ng/mL
Lowest trough value in cleaned_60mV 80Hz_µA_8.csv: 0.0747277065151486,60.0,80.0,8,0.0747277065151486,100ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_1.csv: 0.2071400037086487,60.0,100.0,1,0.2071400037086487,0ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_2.csv: 0.17060863888507427,60.0,100.0,2,0.17060863888507427,0ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_3.csv: 0.15122121920604167,60.0,100.0,3,0.15122121920604167,0ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_5.csv: 0.04776698529170903,60.0,100.0,5,0.04776698529170903,100ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_6.csv: 0.19905628913369555,60.0,100.0,6,0.19905628913369555,100ng/mL
Lowest trough value in cleaned_60mV 100Hz_µA_8.csv: 0.05996359984440691,60.0,100.0,8,0.05996359984440691,100ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_1.csv: 0.23441974660065812,60.0,150.0,1,0.23441974660065812,0ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_2.csv: 0.20745282470379234,60.0,150.0,2,0.20745282470379234,0ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_3.csv: 0.18127070181324295,60.0,150.0,3,0.18127070181324295,0ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_5.csv: 0.05778235151439759,60.0,150.0,5,0.05778235151439759,100ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_6.csv: 0.23464122166325696,60.0,150.0,6,0.23464122166325696,100ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_7.csv: -0.033800523091661594,60.0,150.0,7,-0.033800523091661594,100ng/mL
Lowest trough value in cleaned_60mV 150Hz_µA_8.csv: 0.05006379320452414,60.0,150.0,8,0.05006379320452414,100ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_1.csv: 0.2664991667541625,60.0,200.0,1,0.2664991667541625,0ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_2.csv: 0.24911481669297997,60.0,200.0,2,0.24911481669297997,0ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_3.csv: 0.2355862105751838,60.0,200.0,3,0.2355862105751838,0ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_4.csv: 0.19525739301694855,60.0,200.0,4,0.19525739301694855,0ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_5.csv: 0.06500317542519596,60.0,200.0,5,0.06500317542519596,100ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_6.csv: 0.251717633326636,60.0,200.0,6,0.251717633326636,100ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_7.csv: -0.05216166542853995,60.0,200.0,7,-0.05216166542853995,100ng/mL
Lowest trough value in cleaned_60mV 200Hz_µA_8.csv: 0.042513856053933985,60.0,200.0,8,0.042513856053933985,100ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_1.csv: 0.411805642540211,60.0,300.0,1,0.411805642540211,0ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_2.csv: 0.34565327900450526,60.0,300.0,2,0.34565327900450526,0ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_3.csv: 0.3231991197152113,60.0,300.0,3,0.3231991197152113,0ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_4.csv: 0.28700186128443095,60.0,300.0,4,0.28700186128443095,0ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_5.csv: 0.13160610063464717,60.0,300.0,5,0.13160610063464717,100ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_6.csv: 0.3114595237242479,60.0,300.0,6,0.3114595237242479,100ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_7.csv: -0.053354154752020655,60.0,300.0,7,-0.053354154752020655,100ng/mL
Lowest trough value in cleaned_60mV 300Hz_µA_8.csv: 0.04431237345356043,60.0,300.0,8,0.04431237345356043,100ng/mL
Lowest trough value in cleaned_70mV 20Hz_µA_1.csv: -1.1868428935724897,70.0,20.0,1,-1.1868428935724897,0ng/mL
Lowest trough value in cleaned_70mV 20Hz_µA_7.csv: -1.1165279675952258,70.0,20.0,7,-1.1165279675952258,100ng/mL
Lowest trough value in cleaned_70mV 40Hz_µA_1.csv: -1.7200308711786678,70.0,40.0,1,-1.7200308711786678,0ng/mL
Lowest trough value in cleaned_70mV 40Hz_µA_2.csv: -0.015656129315521294,70.0,40.0,2,-0.015656129315521294,0ng/mL
Lowest trough value in cleaned_70mV 40Hz_µA_3.csv: -0.008481386304793073,70.0,40.0,3,-0.008481386304793073,0ng/mL
Lowest trough value in cleaned_70mV 60Hz_µA_2.csv: 0.18936200178571638,70.0,60.0,2,0.18936200178571638,0ng/mL
Lowest trough value in cleaned_70mV 60Hz_µA_5.csv: 0.05223810979269922,70.0,60.0,5,0.05223810979269922,100ng/mL
Lowest trough value in cleaned_70mV 60Hz_µA_6.csv: 0.20623781775800537,70.0,60.0,6,0.20623781775800537,100ng/mL
Lowest trough value in cleaned_70mV 60Hz_µA_7.csv: 0.0012512173048742636,70.0,60.0,7,0.0012512173048742636,100ng/mL
Lowest trough value in cleaned_70mV 60Hz_µA_8.csv: 0.14244457358066143,70.0,60.0,8,0.14244457358066143,100ng/mL
Lowest trough value in cleaned_70mV 80Hz_µA_2.csv: 0.21564453241984838,70.0,80.0,2,0.21564453241984838,0ng/mL
Lowest trough value in cleaned_70mV 80Hz_µA_3.csv: 0.17299914321900253,70.0,80.0,3,0.17299914321900253,0ng/mL
Lowest trough value in cleaned_70mV 80Hz_µA_5.csv: 0.06084764570058526,70.0,80.0,5,0.06084764570058526,100ng/mL
Lowest trough value in cleaned_70mV 80Hz_µA_6.csv: 0.20966048912786328,70.0,80.0,6,0.20966048912786328,100ng/mL
Lowest trough value in cleaned_70mV 80Hz_µA_8.csv: 0.14998731534355358,70.0,80.0,8,0.14998731534355358,100ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_1.csv: 0.4506361728274787,70.0,100.0,1,0.4506361728274787,0ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_2.csv: 0.24275889014714602,70.0,100.0,2,0.24275889014714602,0ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_3.csv: 0.19402140538095125,70.0,100.0,3,0.19402140538095125,0ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_5.csv: 0.0763524488382556,70.0,100.0,5,0.0763524488382556,100ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_6.csv: 0.1855754240793419,70.0,100.0,6,0.1855754240793419,100ng/mL
Lowest trough value in cleaned_70mV 100Hz_µA_8.csv: 0.15039958513928642,70.0,100.0,8,0.15039958513928642,100ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_1.csv: 0.5740234623100682,70.0,150.0,1,0.5740234623100682,0ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_2.csv: 0.2812486820555782,70.0,150.0,2,0.2812486820555782,0ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_3.csv: 0.2386176690456141,70.0,150.0,3,0.2386176690456141,0ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_5.csv: 0.08960014462016685,70.0,150.0,5,0.08960014462016685,100ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_6.csv: 0.20001457363998842,70.0,150.0,6,0.20001457363998842,100ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_7.csv: -3.36202815720633,70.0,150.0,7,-3.36202815720633,100ng/mL
Lowest trough value in cleaned_70mV 150Hz_µA_8.csv: 0.14575206808552532,70.0,150.0,8,0.14575206808552532,100ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_1.csv: 0.6487302507597263,70.0,200.0,1,0.6487302507597263,0ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_2.csv: 0.3305940674946113,70.0,200.0,2,0.3305940674946113,0ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_3.csv: 0.2910601369778901,70.0,200.0,3,0.2910601369778901,0ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_5.csv: 0.10727167031500395,70.0,200.0,5,0.10727167031500395,100ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_6.csv: 0.18292654996309943,70.0,200.0,6,0.18292654996309943,100ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_7.csv: -0.039618834211769594,70.0,200.0,7,-0.039618834211769594,100ng/mL
Lowest trough value in cleaned_70mV 200Hz_µA_8.csv: 0.1312177059636057,70.0,200.0,8,0.1312177059636057,100ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_1.csv: 0.7944069627386643,70.0,300.0,1,0.7944069627386643,0ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_2.csv: 0.4224296700572401,70.0,300.0,2,0.4224296700572401,0ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_3.csv: 0.41049586036126073,70.0,300.0,3,0.41049586036126073,0ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_4.csv: 0.5709734838280078,70.0,300.0,4,0.5709734838280078,0ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_5.csv: 0.15540962057516428,70.0,300.0,5,0.15540962057516428,100ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_6.csv: 0.22447979963669784,70.0,300.0,6,0.22447979963669784,100ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_7.csv: -0.03552295011350037,70.0,300.0,7,-0.03552295011350037,100ng/mL
Lowest trough value in cleaned_70mV 300Hz_µA_8.csv: 0.14680037600547569,70.0,300.0,8,0.14680037600547569,100ng/mL
Lowest trough value in cleaned_80mV 20Hz_µA_1.csv: -1.3157353662376314,80.0,20.0,1,-1.3157353662376314,0ng/mL
Lowest trough value in cleaned_80mV 20Hz_µA_7.csv: -1.0523399305792136,80.0,20.0,7,-1.0523399305792136,100ng/mL
Lowest trough value in cleaned_80mV 40Hz_µA_2.csv: -0.013616345255272666,80.0,40.0,2,-0.013616345255272666,0ng/mL
Lowest trough value in cleaned_80mV 40Hz_µA_3.csv: -0.006319173261892033,80.0,40.0,3,-0.006319173261892033,0ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_2.csv: 0.23985625831796453,80.0,60.0,2,0.23985625831796453,0ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_3.csv: 0.1924332402703158,80.0,60.0,3,0.1924332402703158,0ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_5.csv: 0.07400976801946488,80.0,60.0,5,0.07400976801946488,100ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_6.csv: 0.3003817479738854,80.0,60.0,6,0.3003817479738854,100ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_7.csv: 0.0021417247067431755,80.0,60.0,7,0.0021417247067431755,100ng/mL
Lowest trough value in cleaned_80mV 60Hz_µA_8.csv: 0.23346644710427678,80.0,60.0,8,0.23346644710427678,100ng/mL
Lowest trough value in cleaned_80mV 80Hz_µA_2.csv: 0.27465616607625365,80.0,80.0,2,0.27465616607625365,0ng/mL
Lowest trough value in cleaned_80mV 80Hz_µA_3.csv: 0.22097931803599782,80.0,80.0,3,0.22097931803599782,0ng/mL
Lowest trough value in cleaned_80mV 80Hz_µA_5.csv: 0.08453342997582941,80.0,80.0,5,0.08453342997582941,100ng/mL
Lowest trough value in cleaned_80mV 80Hz_µA_6.csv: 0.34121941712314385,80.0,80.0,6,0.34121941712314385,100ng/mL
Lowest trough value in cleaned_80mV 80Hz_µA_8.csv: 0.3148838592927296,80.0,80.0,8,0.3148838592927296,100ng/mL
Lowest trough value in cleaned_80mV 100Hz_µA_2.csv: 0.32226227346739833,80.0,100.0,2,0.32226227346739833,0ng/mL
Lowest trough value in cleaned_80mV 100Hz_µA_3.csv: 0.26430663025822393,80.0,100.0,3,0.26430663025822393,0ng/mL
Lowest trough value in cleaned_80mV 100Hz_µA_5.csv: 0.11668977395913632,80.0,100.0,5,0.11668977395913632,100ng/mL
Lowest trough value in cleaned_80mV 100Hz_µA_6.csv: 0.45287227078132297,80.0,100.0,6,0.45287227078132297,100ng/mL
Lowest trough value in cleaned_80mV 100Hz_µA_8.csv: 0.3166521839672558,80.0,100.0,8,0.3166521839672558,100ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_1.csv: 1.3251640553649628,80.0,150.0,1,1.3251640553649628,0ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_2.csv: 0.4081149807929434,80.0,150.0,2,0.4081149807929434,0ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_3.csv: 0.33920047388882374,80.0,150.0,3,0.33920047388882374,0ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_5.csv: 0.16957663222783137,80.0,150.0,5,0.16957663222783137,100ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_6.csv: 0.5907191544037598,80.0,150.0,6,0.5907191544037598,100ng/mL
Lowest trough value in cleaned_80mV 150Hz_µA_8.csv: 0.33587476820923057,80.0,150.0,8,0.33587476820923057,100ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_1.csv: 1.6650421996386822,80.0,200.0,1,1.6650421996386822,0ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_2.csv: 0.5033154849589541,80.0,200.0,2,0.5033154849589541,0ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_3.csv: 0.4145984136534169,80.0,200.0,3,0.4145984136534169,0ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_5.csv: 0.2041809443411866,80.0,200.0,5,0.2041809443411866,100ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_6.csv: 0.5470638816042837,80.0,200.0,6,0.5470638816042837,100ng/mL
Lowest trough value in cleaned_80mV 200Hz_µA_8.csv: 0.37433775669563485,80.0,200.0,8,0.37433775669563485,100ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_1.csv: 2.3502731758391766,80.0,300.0,1,2.3502731758391766,0ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_2.csv: 0.6277945731145125,80.0,300.0,2,0.6277945731145125,0ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_3.csv: 0.557612954260652,80.0,300.0,3,0.557612954260652,0ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_5.csv: 0.29677783999146046,80.0,300.0,5,0.29677783999146046,100ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_6.csv: 0.6371312028153269,80.0,300.0,6,0.6371312028153269,100ng/mL
Lowest trough value in cleaned_80mV 300Hz_µA_8.csv: 0.4422873506597136,80.0,300.0,8,0.4422873506597136,100ng/mL
Lowest trough value in cleaned_90mV 20Hz_µA_1.csv: -1.4790831322654605,90.0,20.0,1,-1.4790831322654605,0ng/mL
Lowest trough value in cleaned_90mV 20Hz_µA_3.csv: -0.0011540398599358195,90.0,20.0,3,-0.0011540398599358195,0ng/mL
Lowest trough value in cleaned_90mV 40Hz_µA_2.csv: -0.007937297956260192,90.0,40.0,2,-0.007937297956260192,0ng/mL
Lowest trough value in cleaned_90mV 40Hz_µA_3.csv: -0.004307032174427836,90.0,40.0,3,-0.004307032174427836,0ng/mL
Lowest trough value in cleaned_90mV 60Hz_µA_2.csv: 0.3100218592915043,90.0,60.0,2,0.3100218592915043,0ng/mL
Lowest trough value in cleaned_90mV 60Hz_µA_3.csv: 0.2515482258190498,90.0,60.0,3,0.2515482258190498,0ng/mL
Lowest trough value in cleaned_90mV 60Hz_µA_5.csv: 0.1105128976424167,90.0,60.0,5,0.1105128976424167,100ng/mL
Lowest trough value in cleaned_90mV 60Hz_µA_6.csv: 0.36604342055654154,90.0,60.0,6,0.36604342055654154,100ng/mL
Lowest trough value in cleaned_90mV 60Hz_µA_8.csv: 0.46108656402301745,90.0,60.0,8,0.46108656402301745,100ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_1.csv: 1.0668502718146415,90.0,80.0,1,1.0668502718146415,0ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_2.csv: 0.35233035791239997,90.0,80.0,2,0.35233035791239997,0ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_3.csv: 0.2943091959691351,90.0,80.0,3,0.2943091959691351,0ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_5.csv: 0.13079602339631985,90.0,80.0,5,0.13079602339631985,100ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_6.csv: 0.3758259307033536,90.0,80.0,6,0.3758259307033536,100ng/mL
Lowest trough value in cleaned_90mV 80Hz_µA_8.csv: 0.5532586316394943,90.0,80.0,8,0.5532586316394943,100ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_1.csv: 1.2426684025548247,90.0,100.0,1,1.2426684025548247,0ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_2.csv: 0.40655825647773125,90.0,100.0,2,0.40655825647773125,0ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_3.csv: 0.33043703111834444,90.0,100.0,3,0.33043703111834444,0ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_5.csv: 0.15187250636580407,90.0,100.0,5,0.15187250636580407,100ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_6.csv: 0.41329183176497875,90.0,100.0,6,0.41329183176497875,100ng/mL
Lowest trough value in cleaned_90mV 100Hz_µA_8.csv: 0.6282766698090202,90.0,100.0,8,0.6282766698090202,100ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_1.csv: 1.8096352944219185,90.0,150.0,1,1.8096352944219185,0ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_2.csv: 0.5027967831847815,90.0,150.0,2,0.5027967831847815,0ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_3.csv: 0.4117216758122909,90.0,150.0,3,0.4117216758122909,0ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_5.csv: 0.20684709854524308,90.0,150.0,5,0.20684709854524308,100ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_6.csv: 0.5142820569366706,90.0,150.0,6,0.5142820569366706,100ng/mL
Lowest trough value in cleaned_90mV 150Hz_µA_8.csv: 0.6835917375127966,90.0,150.0,8,0.6835917375127966,100ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_1.csv: 2.3418361857189405,90.0,200.0,1,2.3418361857189405,0ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_2.csv: 0.5990558250576812,90.0,200.0,2,0.5990558250576812,0ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_3.csv: 0.5002136651562052,90.0,200.0,3,0.5002136651562052,0ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_5.csv: 0.2458136140719176,90.0,200.0,5,0.2458136140719176,100ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_6.csv: 0.5355517632127687,90.0,200.0,6,0.5355517632127687,100ng/mL
Lowest trough value in cleaned_90mV 200Hz_µA_8.csv: 0.7834508678358566,90.0,200.0,8,0.7834508678358566,100ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_1.csv: 3.3206259012382198,90.0,300.0,1,3.3206259012382198,0ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_2.csv: 0.7613030889714452,90.0,300.0,2,0.7613030889714452,0ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_3.csv: 0.6647274744100478,90.0,300.0,3,0.6647274744100478,0ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_5.csv: 0.3321870751500091,90.0,300.0,5,0.3321870751500091,100ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_6.csv: 0.5150974888151727,90.0,300.0,6,0.5150974888151727,100ng/mL
Lowest trough value in cleaned_90mV 300Hz_µA_8.csv: 0.9739225266885287,90.0,300.0,8,0.9739225266885287,100ng/mL
Lowest trough value in cleaned_100mV 20Hz_µA_1.csv: -1.756731163896942,100.0,20.0,1,-1.756731163896942,0ng/mL
Lowest trough value in cleaned_100mV 20Hz_µA_7.csv: -0.4085366973540405,100.0,20.0,7,-0.4085366973540405,100ng/mL
Lowest trough value in cleaned_100mV 40Hz_µA_1.csv: -2.4330581808911678,100.0,40.0,1,-2.4330581808911678,0ng/mL
Lowest trough value in cleaned_100mV 40Hz_µA_2.csv: -0.004942723272290506,100.0,40.0,2,-0.004942723272290506,0ng/mL
Lowest trough value in cleaned_100mV 40Hz_µA_3.csv: -0.0017368777855939904,100.0,40.0,3,-0.0017368777855939904,0ng/mL
Lowest trough value in cleaned_100mV 60Hz_µA_2.csv: 0.36445434745900807,100.0,60.0,2,0.36445434745900807,0ng/mL
Lowest trough value in cleaned_100mV 60Hz_µA_3.csv: 0.2985515481894171,100.0,60.0,3,0.2985515481894171,0ng/mL
Lowest trough value in cleaned_100mV 60Hz_µA_6.csv: 0.5214412554140306,100.0,60.0,6,0.5214412554140306,100ng/mL
Lowest trough value in cleaned_100mV 60Hz_µA_8.csv: 0.5617888987180755,100.0,60.0,8,0.5617888987180755,100ng/mL
Lowest trough value in cleaned_100mV 80Hz_µA_2.csv: 0.41693612811414726,100.0,80.0,2,0.41693612811414726,0ng/mL
Lowest trough value in cleaned_100mV 80Hz_µA_3.csv: 0.34474095045101616,100.0,80.0,3,0.34474095045101616,0ng/mL
Lowest trough value in cleaned_100mV 80Hz_µA_5.csv: 0.15668896481457706,100.0,80.0,5,0.15668896481457706,100ng/mL
Lowest trough value in cleaned_100mV 80Hz_µA_6.csv: 0.5644245615911934,100.0,80.0,6,0.5644245615911934,100ng/mL
Lowest trough value in cleaned_100mV 80Hz_µA_8.csv: 0.6930593456346128,100.0,80.0,8,0.6930593456346128,100ng/mL
Lowest trough value in cleaned_100mV 100Hz_µA_2.csv: 0.4836378791166116,100.0,100.0,2,0.4836378791166116,0ng/mL
Lowest trough value in cleaned_100mV 100Hz_µA_3.csv: 0.3967794263938627,100.0,100.0,3,0.3967794263938627,0ng/mL
Lowest trough value in cleaned_100mV 100Hz_µA_5.csv: 0.1853168587053487,100.0,100.0,5,0.1853168587053487,100ng/mL
Lowest trough value in cleaned_100mV 100Hz_µA_6.csv: 0.6096553288653914,100.0,100.0,6,0.6096553288653914,100ng/mL
Lowest trough value in cleaned_100mV 100Hz_µA_8.csv: 0.7907143103412992,100.0,100.0,8,0.7907143103412992,100ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_1.csv: 2.5669560317424303,100.0,200.0,1,2.5669560317424303,0ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_2.csv: 0.7416140886413234,100.0,200.0,2,0.7416140886413234,0ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_3.csv: 0.5902273984238093,100.0,200.0,3,0.5902273984238093,0ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_5.csv: 0.29169931011048167,100.0,200.0,5,0.29169931011048167,100ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_6.csv: 0.7120109943090558,100.0,200.0,6,0.7120109943090558,100ng/mL
Lowest trough value in cleaned_100mV 200Hz_µA_8.csv: 1.0963625579587948,100.0,200.0,8,1.0963625579587948,100ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_1.csv: 4.016838450433577,100.0,300.0,1,4.016838450433577,0ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_2.csv: 0.9367436679666294,100.0,300.0,2,0.9367436679666294,0ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_3.csv: 0.7761712888775132,100.0,300.0,3,0.7761712888775132,0ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_5.csv: 0.417494691698689,100.0,300.0,5,0.417494691698689,100ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_6.csv: 0.8731245303016495,100.0,300.0,6,0.8731245303016495,100ng/mL
Lowest trough value in cleaned_100mV 300Hz_µA_8.csv: 1.210550133331691,100.0,300.0,8,1.210550133331691,100ng/mL
