V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.301055908203125,-0.178098678588867,-0.301055908203125,-0.410795211791992,-0.301055908203125,-0.0479221343994141,-0.301055908203125,-0.618696212768555,-0.301055908203125,-0.0970363616943359,-0.301055908203125,-0.228643417358398,-0.301055908203125,-0.420331954956055,-0.301055908203125,-0.123739242553711
-0.301993370056152,-0.173807144165039,-0.301993370056152,-0.406503677368164,-0.301993370056152,-0.0479221343994141,-0.301993370056152,-0.61345100402832,-0.301993370056152,-0.0960826873779297,-0.301993370056152,-0.221490859985352,-0.301993370056152,-0.426054000854492,-0.301993370056152,-0.12516975402832
-0.303009033203125,-0.173330307006836,-0.303009033203125,-0.405550003051758,-0.303009033203125,-0.0469684600830078,-0.303009033203125,-0.610113143920898,-0.303009033203125,-0.0957250595092773,-0.303009033203125,-0.222444534301758,-0.303009033203125,-0.428438186645508,-0.303009033203125,-0.121355056762695
-0.304024696350098,-0.174760818481445,-0.304024696350098,-0.403165817260742,-0.304024696350098,-0.0464916229248047,-0.304024696350098,-0.611066818237305,-0.304024696350098,-0.0946521759033203,-0.304024696350098,-0.223875045776367,-0.304024696350098,-0.437021255493164,-0.304024696350098,-0.122308731079102
-0.304962158203125,-0.174283981323242,-0.304962158203125,-0.404596328735352,-0.304962158203125,-0.0466108322143555,-0.304962158203125,-0.611066818237305,-0.304962158203125,-0.0951290130615234,-0.304962158203125,-0.222444534301758,-0.304962158203125,-0.43797492980957,-0.304962158203125,-0.123023986816406
-0.305977821350098,-0.175714492797852,-0.305977821350098,-0.404119491577148,-0.305977821350098,-0.0464916229248047,-0.305977821350098,-0.611543655395508,-0.305977821350098,-0.0941753387451172,-0.305977821350098,-0.220060348510742,-0.305977821350098,-0.444173812866211,-0.305977821350098,-0.124216079711914
-0.30699348449707,-0.173330307006836,-0.30699348449707,-0.405073165893555,-0.30699348449707,-0.0464916229248047,-0.30699348449707,-0.612974166870117,-0.30699348449707,-0.0941753387451172,-0.30699348449707,-0.221490859985352,-0.30699348449707,-0.448942184448242,-0.30699348449707,-0.124216079711914
-0.307930946350098,-0.175237655639648,-0.307930946350098,-0.405550003051758,-0.307930946350098,-0.0455379486083984,-0.307930946350098,-0.611543655395508,-0.307930946350098,-0.0960826873779297,-0.307930946350098,-0.221967697143555,-0.307930946350098,-0.457048416137695,-0.307930946350098,-0.124216079711914
-0.30894660949707,-0.176191329956055,-0.30894660949707,-0.404596328735352,-0.30894660949707,-0.0460147857666016,-0.30894660949707,-0.61345100402832,-0.30894660949707,-0.0965595245361328,-0.30894660949707,-0.221014022827148,-0.30894660949707,-0.459909439086914,-0.30894660949707,-0.123739242553711
-0.309962272644043,-0.177145004272461,-0.309962272644043,-0.406503677368164,-0.309962272644043,-0.0474452972412109,-0.309962272644043,-0.612497329711914,-0.309962272644043,-0.0936985015869141,-0.309962272644043,-0.217199325561523,-0.309962272644043,-0.467538833618164,-0.309962272644043,-0.124216079711914
-0.31089973449707,-0.177145004272461,-0.31089973449707,-0.405550003051758,-0.31089973449707,-0.0469684600830078,-0.31089973449707,-0.612974166870117,-0.31089973449707,-0.0956058502197266,-0.31089973449707,-0.217199325561523,-0.31089973449707,-0.477075576782227,-0.31089973449707,-0.123739242553711
-0.311915397644043,-0.177621841430664,-0.311915397644043,-0.406503677368164,-0.311915397644043,-0.0488758087158203,-0.311915397644043,-0.614404678344727,-0.311915397644043,-0.0941753387451172,-0.311915397644043,-0.216245651245117,-0.311915397644043,-0.479936599731445,-0.311915397644043,-0.123739242553711
-0.312931060791016,-0.178098678588867,-0.312931060791016,-0.405550003051758,-0.312931060791016,-0.0493526458740234,-0.312931060791016,-0.612974166870117,-0.312931060791016,-0.0940561294555664,-0.312931060791016,-0.215291976928711,-0.312931060791016,-0.486612319946289,-0.312931060791016,-0.124692916870117
-0.313946723937988,-0.177145004272461,-0.313946723937988,-0.404596328735352,-0.313946723937988,-0.0464916229248047,-0.313946723937988,-0.613927841186523,-0.313946723937988,-0.0932216644287109,-0.313946723937988,-0.216245651245117,-0.313946723937988,-0.493764877319336,-0.313946723937988,-0.12516975402832
-0.314884185791016,-0.178098678588867,-0.314884185791016,-0.405550003051758,-0.314884185791016,-0.0483989715576172,-0.314884185791016,-0.61345100402832,-0.314884185791016,-0.0932216644287109,-0.314884185791016,-0.214815139770508,-0.314884185791016,-0.500917434692383,-0.314884185791016,-0.12516975402832
-0.315899848937988,-0.179529190063477,-0.315899848937988,-0.406503677368164,-0.315899848937988,-0.0469684600830078,-0.315899848937988,-0.615358352661133,-0.315899848937988,-0.0960826873779297,-0.315899848937988,-0.213384628295898,-0.315899848937988,-0.507593154907227,-0.315899848937988,-0.123739242553711
-0.316915512084961,-0.179052352905273,-0.316915512084961,-0.404596328735352,-0.316915512084961,-0.0464916229248047,-0.316915512084961,-0.61488151550293,-0.316915512084961,-0.0913143157958984,-0.316915512084961,-0.211954116821289,-0.316915512084961,-0.537633895874023,-0.316915512084961,-0.12516975402832
-0.317852973937988,-0.181436538696289,-0.317852973937988,-0.40745735168457,-0.317852973937988,-0.0483989715576172,-0.317852973937988,-0.616312026977539,-0.317852973937988,-0.0936985015869141,-0.317852973937988,-0.211954116821289,-0.317852973937988,-0.51569938659668,-0.317852973937988,-0.12660026550293
-0.318868637084961,-0.18000602722168,-0.318868637084961,-0.405550003051758,-0.318868637084961,-0.0455379486083984,-0.318868637084961,-0.615358352661133,-0.318868637084961,-0.0922679901123047,-0.318868637084961,-0.209569931030273,-0.318868637084961,-0.530004501342773,-0.318868637084961,-0.126123428344727
-0.319884300231934,-0.183343887329102,-0.319884300231934,-0.406980514526367,-0.319884300231934,-0.0483989715576172,-0.319884300231934,-0.616788864135742,-0.319884300231934,-0.0908374786376953,-0.319884300231934,-0.211000442504883,-0.319884300231934,-0.537633895874023,-0.319884300231934,-0.127077102661133
-0.320821762084961,-0.182390213012695,-0.320821762084961,-0.405550003051758,-0.320821762084961,-0.0493526458740234,-0.320821762084961,-0.616788864135742,-0.320821762084961,-0.0917911529541016,-0.320821762084961,-0.208616256713867,-0.320821762084961,-0.544309616088867,-0.320821762084961,-0.128030776977539
-0.321837425231934,-0.184297561645508,-0.321837425231934,-0.40745735168457,-0.321837425231934,-0.0464916229248047,-0.321837425231934,-0.61488151550293,-0.321837425231934,-0.0908374786376953,-0.321837425231934,-0.208139419555664,-0.321837425231934,-0.55241584777832,-0.321837425231934,-0.127077102661133
-0.322853088378906,-0.184297561645508,-0.322853088378906,-0.407934188842773,-0.322853088378906,-0.0469684600830078,-0.322853088378906,-0.617265701293945,-0.322853088378906,-0.0927448272705078,-0.322853088378906,-0.20909309387207,-0.322853088378906,-0.559091567993164,-0.322853088378906,-0.127077102661133
