Lowest trough value in cleaned_20mV 20Hz_µA_8.csv: -0.009802815902867218
Lowest trough value in cleaned_20mV 20Hz_µA_9.csv: -0.008544550195517784
Lowest trough value in cleaned_20mV 300Hz_µA_1.csv: -0.07427579327832456
Lowest trough value in cleaned_20mV 300Hz_µA_2.csv: 0.21728576381910591
Lowest trough value in cleaned_20mV 300Hz_µA_3.csv: 0.10294700168125526
Lowest trough value in cleaned_20mV 300Hz_µA_4.csv: 0.07590244679934671
Lowest trough value in cleaned_20mV 300Hz_µA_5.csv: 0.013588422326046068
Lowest trough value in cleaned_20mV 300Hz_µA_6.csv: 0.03979943640006112
Lowest trough value in cleaned_20mV 300Hz_µA_7.csv: -0.10007989373540294
Lowest trough value in cleaned_20mV 300Hz_µA_8.csv: -0.04695674809606715
Lowest trough value in cleaned_20mV 40Hz_µA_1.csv: -0.0313385825451232
Lowest trough value in cleaned_20mV 40Hz_µA_2.csv: -0.019737734947345875
Lowest trough value in cleaned_20mV 40Hz_µA_3.csv: -0.010692742354766673
No troughs found in cleaned_20mV 40Hz_µA_4.csv
Lowest trough value in cleaned_20mV 40Hz_µA_5.csv: -0.0036480039427947974
Lowest trough value in cleaned_20mV 40Hz_µA_6.csv: -0.03090403226752629
Lowest trough value in cleaned_20mV 40Hz_µA_7.csv: -0.022740755216305905
No troughs found in cleaned_20mV 40Hz_µA_8.csv
Lowest trough value in cleaned_20mV 60Hz_µA_1.csv: 0.03583559501055983
Lowest trough value in cleaned_20mV 60Hz_µA_2.csv: 0.06273891699291045
Lowest trough value in cleaned_20mV 60Hz_µA_3.csv: 0.016237644981651936
No troughs found in cleaned_20mV 60Hz_µA_4.csv
Lowest trough value in cleaned_20mV 60Hz_µA_5.csv: 0.007826335682030838
Lowest trough value in cleaned_20mV 60Hz_µA_6.csv: -0.011024784907247454
Lowest trough value in cleaned_20mV 60Hz_µA_7.csv: -0.0029796940510100345
Lowest trough value in cleaned_20mV 60Hz_µA_8.csv: -0.01327090738036904
Lowest trough value in cleaned_20mV 80Hz_µA_1.csv: 0.019275422231692166
Lowest trough value in cleaned_20mV 80Hz_µA_2.csv: 0.07317995751447504
Lowest trough value in cleaned_20mV 80Hz_µA_3.csv: 0.04339752009050274
Lowest trough value in cleaned_20mV 80Hz_µA_4.csv: 0.007223344691889233
Lowest trough value in cleaned_20mV 80Hz_µA_5.csv: 0.004747787256498354
Lowest trough value in cleaned_20mV 80Hz_µA_6.csv: -0.00500511401515108
Lowest trough value in cleaned_20mV 80Hz_µA_7.csv: -0.03194473449906446
