V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.441312789916992,-0.0009765625,-0.641589164733887,-0.0009765625,-0.228643417358398,-0.0009765625,-0.757937431335449,-0.0009765625,-0.167131423950195,-0.0009765625,-0.400781631469727,-0.0009765625,-0.181436538696289,-0.0009765625,-0.219106674194336
-0.00191402435302734,-0.438451766967773,-0.0019140243530273,-0.635390281677246,-0.0019140243530273,-0.226736068725586,-0.0019140243530273,-0.749831199645996,-0.0019140243530273,-0.16474723815918,-0.0019140243530273,-0.39362907409668,-0.0019140243530273,-0.180959701538086,-0.0019140243530273,-0.213861465454102
-0.0029296875,-0.42414665222168,-0.0029296875,-0.629191398620605,-0.0029296875,-0.221490859985352,-0.0029296875,-0.745062828063965,-0.0029296875,-0.164270401000977,-0.0029296875,-0.388383865356445,-0.0029296875,-0.182271003723145,-0.0029296875,-0.212430953979492
-0.00394535064697266,-0.427007675170898,-0.0039453506469726,-0.62680721282959,-0.0039453506469726,-0.217199325561523,-0.0039453506469726,-0.73981761932373,-0.0039453506469726,-0.162363052368164,-0.0039453506469726,-0.385046005249023,-0.0039453506469726,-0.182867050170898,-0.0039453506469726,-0.211954116821289
-0.0048828125,-0.420331954956055,-0.0048828125,-0.622987747192383,-0.0048828125,-0.214338302612305,-0.0048828125,-0.738387107849121,-0.0048828125,-0.16474723815918,-0.0048828125,-0.384092330932617,-0.0048828125,-0.183820724487305,-0.0048828125,-0.209569931030273
-0.00589847564697266,-0.420331954956055,-0.0058984756469726,-0.62251091003418,-0.0058984756469726,-0.217199325561523,-0.0058984756469726,-0.739340782165527,-0.0058984756469726,-0.163793563842773,-0.0058984756469726,-0.381231307983398,-0.0058984756469726,-0.181913375854492,-0.0058984756469726,-0.20909309387207
-0.00691413879394531,-0.413656234741211,-0.0069141387939453,-0.616788864135742,-0.0069141387939453,-0.213861465454102,-0.0069141387939453,-0.737910270690918,-0.0069141387939453,-0.161409378051758,-0.0069141387939453,-0.376462936401367,-0.0069141387939453,-0.182390213012695,-0.0069141387939453,-0.205755233764648
-0.00792980194091797,-0.411748886108398,-0.0079298019409179,-0.613927841186523,-0.0079298019409179,-0.210046768188477,-0.0079298019409179,-0.736002922058105,-0.0079298019409179,-0.160932540893555,-0.0079298019409179,-0.375986099243164,-0.0079298019409179,-0.181436538696289,-0.0079298019409179,-0.207662582397461
-0.00886726379394531,-0.406503677368164,-0.0088672637939453,-0.611066818237305,-0.0088672637939453,-0.207662582397461,-0.0088672637939453,-0.732665061950684,-0.0088672637939453,-0.160455703735352,-0.0088672637939453,-0.368833541870117,-0.0088672637939453,-0.182390213012695,-0.0088672637939453,-0.204205513000488
-0.00988292694091797,-0.398874282836914,-0.0098829269409179,-0.607728958129883,-0.0098829269409179,-0.206708908081055,-0.0098829269409179,-0.728850364685059,-0.0098829269409179,-0.159502029418945,-0.0098829269409179,-0.373125076293945,-0.0098829269409179,-0.181436538696289,-0.0098829269409179,-0.20146369934082
-0.0108985900878906,-0.400304794311523,-0.0108985900878906,-0.60582160949707,-0.0108985900878906,-0.204801559448242,-0.0108985900878906,-0.727896690368652,-0.0108985900878906,-0.15711784362793,-0.0108985900878906,-0.367879867553711,-0.0108985900878906,-0.182867050170898,-0.0108985900878906,-0.201940536499023
-0.011836051940918,-0.396490097045898,-0.011836051940918,-0.601530075073242,-0.011836051940918,-0.202417373657227,-0.011836051940918,-0.726466178894043,-0.011836051940918,-0.158548355102539,-0.011836051940918,-0.366449356079102,-0.011836051940918,-0.181913375854492,-0.011836051940918,-0.199556350708008
