V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-1.27673625946045,-0.0009765625,-1.25051021575928,-0.0009765625,-0.482320785522461,-0.0009765625,-1.23954296112061,-0.0009765625,-0.471353530883789,-0.0009765625,-0.971560478210449,-0.0009765625,-0.389814376831055,-0.0009765625,-0.397920608520508
-0.00191402435302734,-1.25766277313232,-0.0019140243530273,-1.22666835784912,-0.0019140243530273,-0.464677810668945,-0.0019140243530273,-1.21808528900146,-0.0019140243530273,-0.447988510131836,-0.0019140243530273,-0.96250057220459,-0.0019140243530273,-0.37837028503418,-0.0019140243530273,-0.385522842407227
-0.0029296875,-1.25861644744873,-0.0029296875,-1.21856212615967,-0.0029296875,-0.448465347290039,-0.0029296875,-1.21045589447021,-0.0029296875,-0.46086311340332,-0.0029296875,-0.959162712097168,-0.0029296875,-0.380754470825195,-0.0029296875,-0.381708145141602
-0.00394535064697266,-1.24001979827881,-0.0039453506469726,-1.22142314910889,-0.0039453506469726,-0.460386276245117,-0.0039453506469726,-1.20330333709717,-0.0039453506469726,-0.440835952758789,-0.0039453506469726,-0.93055248260498,-0.0039453506469726,-0.380277633666992,-0.0039453506469726,-0.381231307983398
-0.0048828125,-1.24097347259521,-0.0048828125,-1.22142314910889,-0.0048828125,-0.452280044555664,-0.0048828125,-1.20521068572998,-0.0048828125,-0.428915023803711,-0.0048828125,-0.940089225769043,-0.0048828125,-0.377416610717773,-0.0048828125,-0.378012657165527
-0.00589847564697266,-1.22762203216553,-0.0058984756469726,-1.19996547698975,-0.0058984756469726,-0.456571578979492,-0.0058984756469726,-1.20282649993896,-0.0058984756469726,-0.444650650024414,-0.0058984756469726,-0.921969413757324,-0.0058984756469726,-0.381231307983398,-0.0058984756469726,-0.375509262084961
-0.00691413879394531,-1.21236324310303,-0.0069141387939453,-1.20521068572998,-0.0069141387939453,-0.449419021606445,-0.0069141387939453,-1.207594871521,-0.0069141387939453,-0.444173812866211,-0.0069141387939453,-0.912432670593262,-0.0069141387939453,-0.383615493774414,-0.0069141387939453,-0.373601913452148
-0.00792980194091797,-1.19853496551514,-0.0079298019409179,-1.18709087371826,-0.0079298019409179,-0.43940544128418,-0.0079298019409179,-1.20139598846436,-0.0079298019409179,-0.447988510131836,-0.0079298019409179,-0.910048484802246,-0.0079298019409179,-0.383615493774414,-0.0079298019409179,-0.379323959350586
-0.00886726379394531,-1.19948863983154,-0.0088672637939453,-1.19901180267334,-0.0088672637939453,-0.440359115600586,-0.0088672637939453,-1.19710445404053,-0.0088672637939453,-0.43797492980957,-0.0088672637939453,-0.891928672790527,-0.0088672637939453,-0.379323959350586,-0.0088672637939453,-0.382661819458008
-0.00988292694091797,-1.19376659393311,-0.0098829269409179,-1.18041515350342,-0.0098829269409179,-0.439882278442383,-0.0098829269409179,-1.19805812835693,-0.0098829269409179,-0.446557998657227,-0.0098829269409179,-0.896697044372559,-0.0098829269409179,-0.371217727661133,-0.0098829269409179,-0.38599967956543
-0.0108985900878906,-1.18852138519287,-0.0108985900878906,-1.18184566497803,-0.0108985900878906,-0.429868698120117,-0.0108985900878906,-1.18804454803467,-0.0108985900878906,-0.442266464233398,-0.0108985900878906,-0.889544486999512,-0.0108985900878906,-0.381231307983398,-0.0108985900878906,-0.377655029296875
-0.011836051940918,-1.1627721786499,-0.011836051940918,-1.18279933929443,-0.011836051940918,-0.43177604675293,-0.011836051940918,-1.18852138519287,-0.011836051940918,-0.432252883911133,-0.011836051940918,-0.869040489196777,-0.011836051940918,-0.378847122192383,-0.011836051940918,-0.369787216186523
-0.0128517150878906,-1.16849422454834,-0.0128517150878906,-1.17850780487061,-0.0128517150878906,-0.427484512329102,-0.0128517150878906,-1.18494510650635,-0.0128517150878906,-0.429391860961914,-0.0128517150878906,-0.858073234558105,-0.0128517150878906,-0.383138656616211,-0.0128517150878906,-0.372171401977539
-0.0138673782348633,-1.15371227264404,-0.0138673782348633,-1.1775541305542,-0.0138673782348633,-0.42414665222168,-0.0138673782348633,-1.18279933929443,-0.0138673782348633,-0.441312789916992,-0.0138673782348633,-0.86188793182373,-0.0138673782348633,-0.37693977355957,-0.0138673782348633,-0.374555587768555
-0.0148048400878906,-1.15466594696045,-0.0148048400878906,-1.1622953414917,-0.0148048400878906,-0.43034553527832,-0.0148048400878906,-1.18041515350342,-0.0148048400878906,-0.442266464233398,-0.0148048400878906,-0.864748954772949,-0.0148048400878906,-0.377893447875977,-0.0148048400878906,-0.373005867004395
-0.0158205032348633,-1.14846706390381,-0.0158205032348633,-1.16563320159912,-0.0158205032348633,-0.425100326538086,-0.0158205032348633,-1.18947505950928,-0.0158205032348633,-0.43797492980957,-0.0158205032348633,-0.84662914276123,-0.0158205032348633,-0.386953353881836,-0.0158205032348633,-0.37074089050293
-0.0168361663818359,-1.14381790161133,-0.0168361663818359,-1.15514278411865,-0.0168361663818359,-0.425577163696289,-0.0168361663818359,-1.16801738739014,-0.0168361663818359,-0.428915023803711,-0.0168361663818359,-0.841860771179199,-0.0168361663818359,-0.373125076293945,-0.0168361663818359,-0.374555587768555
-0.0178518295288086,-1.13797664642334,-0.0178518295288086,-1.15180492401123,-0.0178518295288086,-0.423192977905273,-0.0178518295288086,-1.17850780487061,-0.0178518295288086,-0.42271614074707,-0.0178518295288086,-0.843291282653809,-0.0178518295288086,-0.384092330932617,-0.0178518295288086,-0.365495681762695
-0.0187892913818359,-1.13416194915771,-0.0187892913818359,-1.14322185516357,-0.0187892913818359,-0.406503677368164,-0.0187892913818359,-1.16611003875732,-0.0187892913818359,-0.432252883911133,-0.0187892913818359,-0.827555656433105,-0.0187892913818359,-0.383615493774414,-0.0187892913818359,-0.375032424926758
-0.0198049545288086,-1.12319469451904,-0.0198049545288086,-1.14512920379639,-0.0198049545288086,-0.39982795715332,-0.0198049545288086,-1.16897106170654,-0.0198049545288086,-0.42271614074707,-0.0198049545288086,-0.82374095916748,-0.0198049545288086,-0.38456916809082,-0.0198049545288086,-0.358343124389648
-0.0208206176757813,-1.10698223114014,-0.0208206176757813,-1.14274501800537,-0.0208206176757813,-0.406026840209961,-0.0208206176757813,-1.16754055023193,-0.0208206176757813,-0.429391860961914,-0.0208206176757813,-0.812773704528809,-0.0208206176757813,-0.391006469726563,-0.0208206176757813,-0.362157821655273
-0.0217580795288086,-1.10698223114014,-0.0217580795288086,-1.13988399505615,-0.0217580795288086,-0.408411026000977,-0.0217580795288086,-1.16503715515137,-0.0217580795288086,-0.429391860961914,-0.0217580795288086,-0.806574821472168,-0.0217580795288086,-0.394582748413086,-0.0217580795288086,-0.350713729858398
-0.0227737426757813,-1.11365795135498,-0.0227737426757813,-1.11747264862061,-0.0227737426757813,-0.398397445678711,-0.0227737426757813,-1.15800380706787,-0.0227737426757813,-0.424027442932129,-0.0227737426757813,-0.807051658630371,-0.0227737426757813,-0.40125846862793,-0.0227737426757813,-0.358343124389648
-0.0237894058227539,-1.10221385955811,-0.0237894058227539,-1.12843990325928,-0.0237894058227539,-0.396013259887695,-0.0237894058227539,-1.16563320159912,-0.0237894058227539,-0.422239303588867,-0.0237894058227539,-0.791792869567871,-0.0237894058227539,-0.385522842407227,-0.0237894058227539,-0.354528427124023
-0.0247268676757813,-1.08266353607178,-0.0247268676757813,-1.11318111419678,-0.0247268676757813,-0.399351119995117,-0.0247268676757813,-1.1627721786499,-0.0247268676757813,-0.41508674621582,-0.0247268676757813,-0.782732963562012,-0.0247268676757813,-0.39219856262207,-0.0247268676757813,-0.360250473022461
-0.0257425308227539,-1.08314037322998,-0.0257425308227539,-1.12414836883545,-0.0257425308227539,-0.400304794311523,-0.0257425308227539,-1.15180492401123,-0.0257425308227539,-0.412225723266602,-0.0257425308227539,-0.778441429138184,-0.0257425308227539,-0.393152236938477,-0.0257425308227539,-0.35405158996582
-0.0267581939697266,-1.07503414154053,-0.0267581939697266,-1.10698223114014,-0.0267581939697266,-0.402688980102539,-0.0267581939697266,-1.15180492401123,-0.0267581939697266,-0.418424606323242,-0.0267581939697266,-0.777010917663574,-0.0267581939697266,-0.39362907409668,-0.0267581939697266,-0.350236892700195
-0.0276956558227539,-1.07312679290771,-0.0276956558227539,-1.11461162567139,-0.0276956558227539,-0.37837028503418,-0.0276956558227539,-1.15561962127686,-0.0276956558227539,-0.41508674621582,-0.0276956558227539,-0.761752128601074,-0.0276956558227539,-0.395536422729492,-0.0276956558227539,-0.357866287231445
-0.0287113189697266,-1.06263637542725,-0.0287113189697266,-1.11127376556396,-0.0287113189697266,-0.393152236938477,-0.0287113189697266,-1.15180492401123,-0.0287113189697266,-0.416040420532227,-0.0287113189697266,-0.776057243347168,-0.0287113189697266,-0.389337539672852,-0.0287113189697266,-0.345468521118164
-0.0297269821166992,-1.05882167816162,-0.0297269821166992,-1.10745906829834,-0.0297269821166992,-0.383138656616211,-0.0297269821166992,-1.14953994750977,-0.0297269821166992,-0.412225723266602,-0.0297269821166992,-0.763182640075684,-0.0297269821166992,-0.377893447875977,-0.0297269821166992,-0.35548210144043
-0.0307426452636719,-1.05643749237061,-0.0307426452636719,-1.10412120819092,-0.0307426452636719,-0.371217727661133,-0.0307426452636719,-1.14894390106201,-0.0307426452636719,-0.405550003051758,-0.0307426452636719,-0.743632316589355,-0.0307426452636719,-0.396490097045898,-0.0307426452636719,-0.344991683959961
-0.0316801071166992,-1.05405330657959,-0.0316801071166992,-1.09553813934326,-0.0316801071166992,-0.387430191040039,-0.0316801071166992,-1.14179134368896,-0.0316801071166992,-0.40888786315918,-0.0316801071166992,-0.74744701385498,-0.0316801071166992,-0.386476516723633,-0.0316801071166992,-0.34642219543457
-0.0326957702636719,-1.03784084320068,-0.0326957702636719,-1.10602855682373,-0.0326957702636719,-0.371217727661133,-0.0326957702636719,-1.146559715271,-0.0326957702636719,-0.404119491577148,-0.0326957702636719,-0.760321617126465,-0.0326957702636719,-0.387907028198242,-0.0326957702636719,-0.343680381774902
-0.0337114334106445,-1.03402614593506,-0.0337114334106445,-1.09220027923584,-0.0337114334106445,-0.371694564819336,-0.0337114334106445,-1.15132808685303,-0.0337114334106445,-0.408411026000977,-0.0337114334106445,-0.749831199645996,-0.0337114334106445,-0.396966934204102,-0.0337114334106445,-0.340700149536133
-0.0346488952636719,-1.02830410003662,-0.0346488952636719,-1.09076976776123,-0.0346488952636719,-0.383615493774414,-0.0346488952636719,-1.14322185516357,-0.0346488952636719,-0.411272048950195,-0.0346488952636719,-0.74124813079834,-0.0346488952636719,-0.39362907409668,-0.0346488952636719,-0.342607498168945
-0.0356645584106445,-1.01924419403076,-0.0356645584106445,-1.09410762786865,-0.0356645584106445,-0.356912612915039,-0.0356645584106445,-1.13702297210693,-0.0356645584106445,-0.407099723815918,-0.0356645584106445,-0.729327201843262,-0.0356645584106445,-0.406026840209961,-0.0356645584106445,-0.342607498168945
-0.0366802215576172,-1.02210521697998,-0.0366802215576172,-1.08838558197021,-0.0366802215576172,-0.380754470825195,-0.0366802215576172,-1.13034725189209,-0.0366802215576172,-0.406980514526367,-0.0366802215576172,-0.727419853210449,-0.0366802215576172,-0.406503677368164,-0.0366802215576172,-0.337839126586914
