V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.30970573425293,-0.0009765625,-1.11794948577881,-0.0009765625,-0.805621147155762,-0.0009765625,-0.304937362670898,-0.0009765625,-0.80228328704834,-0.0009765625,-0.374078750610352,-0.0009765625,-0.191926956176758,-0.0009765625,-0.267744064331055
-0.00191402435302734,-0.297784805297852,-0.0019140243530273,-1.07741832733154,-0.0019140243530273,-0.784163475036621,-0.0019140243530273,-0.298261642456055,-0.0019140243530273,-0.797514915466309,-0.0019140243530273,-0.377893447875977,-0.0019140243530273,-0.212430953979492,-0.0019140243530273,-0.246763229370117
-0.0029296875,-0.312089920043945,-0.0029296875,-1.09935283660889,-0.0029296875,-0.792746543884277,-0.0029296875,-0.283479690551758,-0.0029296875,-0.795130729675293,-0.0029296875,-0.365018844604492,-0.0029296875,-0.19526481628418,-0.0029296875,-0.239133834838867
-0.00394535064697266,-0.30207633972168,-0.0039453506469726,-1.09315395355225,-0.0039453506469726,-0.777487754821777,-0.0039453506469726,-0.282526016235352,-0.0039453506469726,-0.79465389251709,-0.0039453506469726,-0.36931037902832,-0.0039453506469726,-0.219106674194336,-0.0039453506469726,-0.237226486206055
-0.0048828125,-0.288248062133789,-0.0048828125,-1.07169628143311,-0.0048828125,-0.766043663024902,-0.0048828125,-0.294923782348633,-0.0048828125,-0.795607566833496,-0.0048828125,-0.365495681762695,-0.0048828125,-0.199079513549805,-0.0048828125,-0.23961067199707
-0.00589847564697266,-0.29301643371582,-0.0058984756469726,-1.06215953826904,-0.0058984756469726,-0.759844779968262,-0.0058984756469726,-0.27775764465332,-0.0058984756469726,-0.786070823669434,-0.0058984756469726,-0.367879867553711,-0.0058984756469726,-0.194787979125977,-0.0058984756469726,-0.241994857788086
-0.00691413879394531,-0.299215316772461,-0.0069141387939453,-1.05119228363037,-0.0069141387939453,-0.766520500183105,-0.0069141387939453,-0.285863876342773,-0.0069141387939453,-0.791316032409668,-0.0069141387939453,-0.36168098449707,-0.0069141387939453,-0.194311141967773,-0.0069141387939453,-0.236153602600098
-0.00792980194091797,-0.30207633972168,-0.0079298019409179,-1.05977535247803,-0.0079298019409179,-0.756983757019043,-0.0079298019409179,-0.297307968139648,-0.0079298019409179,-0.782732963562012,-0.0079298019409179,-0.353097915649414,-0.0079298019409179,-0.192880630493164,-0.0079298019409179,-0.228166580200195
-0.00886726379394531,-0.314474105834961,-0.0088672637939453,-1.05262279510498,-0.0088672637939453,-0.742201805114746,-0.0088672637939453,-0.268220901489258,-0.0088672637939453,-0.769858360290527,-0.0088672637939453,-0.350713729858398,-0.0088672637939453,-0.203847885131836,-0.0088672637939453,-0.234842300415039
-0.00988292694091797,-0.311136245727539,-0.0098829269409179,-1.05357646942139,-0.0098829269409179,-0.746493339538574,-0.0098829269409179,-0.289201736450195,-0.0098829269409179,-0.780348777770996,-0.0098829269409179,-0.380277633666992,-0.0098829269409179,-0.212907791137695,-0.0098829269409179,-0.241994857788086
