V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-2.12503433227539,-0.0009765625,-2.02489852905273,-0.0009765625,-0.813250541687012,-0.0009765625,-2.37632751464844,-0.0009765625,-0.847105979919434,-0.0009765625,-1.30486965179443,-0.0009765625,-0.612974166870117,-0.0009765625,-0.68021297454834
-0.00191402435302734,-2.0964241027832,-0.0019140243530273,-1.98722839355469,-0.0019140243530273,-0.798945426940918,-0.0019140243530273,-2.3405647277832,-0.0019140243530273,-0.826601982116699,-0.0019140243530273,-1.27530574798584,-0.0019140243530273,-0.594854354858398,-0.0019140243530273,-0.659232139587402
-0.0029296875,-2.06733703613281,-0.0029296875,-1.97244644165039,-0.0029296875,-0.791316032409668,-0.0029296875,-2.33436584472656,-0.0029296875,-0.824694633483887,-0.0029296875,-1.27530574798584,-0.0029296875,-0.583410263061523,-0.0029296875,-0.669245719909668
-0.00394535064697266,-2.05112457275391,-0.0039453506469726,-1.96243286132813,-0.0039453506469726,-0.791316032409668,-0.0039453506469726,-2.30051040649414,-0.0039453506469726,-0.821118354797363,-0.0039453506469726,-1.26278877258301,-0.0039453506469726,-0.57673454284668,-0.0039453506469726,-0.661616325378418
-0.0048828125,-2.06304550170898,-0.0048828125,-1.96863174438477,-0.0048828125,-0.795130729675293,-0.0048828125,-2.29621887207031,-0.0048828125,-0.815634727478027,-0.0048828125,-1.25670909881592,-0.0048828125,-0.57673454284668,-0.0048828125,-0.640158653259277
-0.00589847564697266,-2.034912109375,-0.0058984756469726,-1.95528030395508,-0.0058984756469726,-0.768904685974121,-0.0058984756469726,-2.28954315185547,-0.0058984756469726,-0.81754207611084,-0.0058984756469726,-1.24383449554443,-0.0058984756469726,-0.593423843383789,-0.0058984756469726,-0.647311210632324
-0.00691413879394531,-2.02394485473633,-0.0069141387939453,-1.95337295532227,-0.0069141387939453,-0.779871940612793,-0.0069141387939453,-2.29764938354492,-0.0069141387939453,-0.803236961364746,-0.0069141387939453,-1.21903896331787,-0.0069141387939453,-0.591039657592773,-0.0069141387939453,-0.665907859802246
-0.00792980194091797,-2.02728271484375,-0.0079298019409179,-1.94526672363281,-0.0079298019409179,-0.757937431335449,-0.0079298019409179,-2.28429794311523,-0.0079298019409179,-0.805144309997559,-0.0079298019409179,-1.19472026824951,-0.0079298019409179,-0.598669052124023,-0.0079298019409179,-0.654463768005371
-0.00886726379394531,-2.00677871704102,-0.0088672637939453,-1.93477630615234,-0.0088672637939453,-0.76270580291748,-0.0088672637939453,-2.26093292236328,-0.0088672637939453,-0.81611156463623,-0.0088672637939453,-1.20711803436279,-0.0088672637939453,-0.596761703491211,-0.0088672637939453,-0.643019676208496
-0.00988292694091797,-1.99104309082031,-0.0098829269409179,-1.93048477172852,-0.0098829269409179,-0.758414268493652,-0.0098829269409179,-2.25187301635742,-0.0098829269409179,-0.81611156463623,-0.0098829269409179,-1.21140956878662,-0.0098829269409179,-0.593423843383789,-0.0098829269409179,-0.660662651062012
