V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.818972587585449,-0.0009765625,-0.931029319763184,-0.0009765625,-0.342130661010742,-0.0009765625,-0.964407920837402,-0.0009765625,-0.289678573608398,-0.0009765625,-0.773196220397949,-0.0009765625,-0.292539596557617,-0.0009765625,-0.303506851196289
-0.00191402435302734,-0.799899101257324,-0.0019140243530273,-0.918154716491699,-0.0019140243530273,-0.332117080688477,-0.0019140243530273,-0.956778526306152,-0.0019140243530273,-0.291585922241211,-0.0019140243530273,-0.764613151550293,-0.0019140243530273,-0.287771224975586,-0.0019140243530273,-0.299692153930664
-0.0029296875,-0.79465389251709,-0.0029296875,-0.911955833435059,-0.0029296875,-0.334501266479492,-0.0029296875,-0.95487117767334,-0.0029296875,-0.290155410766602,-0.0029296875,-0.75507640838623,-0.0029296875,-0.287771224975586,-0.0029296875,-0.293493270874023
-0.00394535064697266,-0.788931846618652,-0.0039453506469726,-0.909571647644043,-0.0039453506469726,-0.333070755004883,-0.0039453506469726,-0.948672294616699,-0.0039453506469726,-0.283479690551758,-0.0039453506469726,-0.744585990905762,-0.0039453506469726,-0.289559364318848,-0.0039453506469726,-0.29444694519043
-0.0048828125,-0.778441429138184,-0.0048828125,-0.90003490447998,-0.0048828125,-0.324487686157227,-0.0048828125,-0.948195457458496,-0.0048828125,-0.283002853393555,-0.0048828125,-0.736479759216309,-0.0048828125,-0.291109085083008,-0.0048828125,-0.296831130981445
-0.00589847564697266,-0.778918266296387,-0.0058984756469726,-0.902419090270996,-0.0058984756469726,-0.322103500366211,-0.0058984756469726,-0.944857597351074,-0.0058984756469726,-0.283956527709961,-0.0058984756469726,-0.737433433532715,-0.0058984756469726,-0.291585922241211,-0.0058984756469726,-0.29301643371582
-0.00691413879394531,-0.772242546081543,-0.0069141387939453,-0.89240550994873,-0.0069141387939453,-0.322580337524414,-0.0069141387939453,-0.942473411560059,-0.0069141387939453,-0.278234481811523,-0.0069141387939453,-0.72455883026123,-0.0069141387939453,-0.287294387817383,-0.0069141387939453,-0.290632247924805
-0.00792980194091797,-0.764613151550293,-0.0079298019409179,-0.891928672790527,-0.0079298019409179,-0.321626663208008,-0.0079298019409179,-0.93818187713623,-0.0079298019409179,-0.275373458862305,-0.0079298019409179,-0.718836784362793,-0.0079298019409179,-0.285863876342773,-0.0079298019409179,-0.289201736450195
-0.00886726379394531,-0.756030082702637,-0.0088672637939453,-0.890021324157715,-0.0088672637939453,-0.316381454467773,-0.0088672637939453,-0.936274528503418,-0.0088672637939453,-0.274896621704102,-0.0088672637939453,-0.705962181091309,-0.0088672637939453,-0.288724899291992,-0.0088672637939453,-0.28681755065918
-0.00988292694091797,-0.752215385437012,-0.0098829269409179,-0.887160301208496,-0.0098829269409179,-0.316858291625977,-0.0098829269409179,-0.93198299407959,-0.0098829269409179,-0.274777412414551,-0.0098829269409179,-0.704054832458496,-0.0098829269409179,-0.292539596557617,-0.0098829269409179,-0.283956527709961
-0.0108985900878906,-0.742201805114746,-0.0108985900878906,-0.880484580993652,-0.0108985900878906,-0.314474105834961,-0.0108985900878906,-0.93055248260498,-0.0108985900878906,-0.274896621704102,-0.0108985900878906,-0.701193809509277,-0.0108985900878906,-0.288724899291992,-0.0108985900878906,-0.283956527709961
