V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.304460525512695,-0.0009765625,-1.93239212036133,-0.0009765625,-1.13034725189209,-0.0009765625,-0.50044059753418,-0.0009765625,-1.11842632293701,-0.0009765625,-0.694994926452637,-0.0009765625,-0.443220138549805,-0.0009765625,-0.374078750610352
-0.00191402435302734,-0.295877456665039,-0.0019140243530273,-1.89567565917969,-0.0019140243530273,-1.10841274261475,-0.0019140243530273,-0.459432601928711,-0.0019140243530273,-1.11461162567139,-0.0019140243530273,-0.67878246307373,-0.0019140243530273,-0.408411026000977,-0.0019140243530273,-0.379800796508789
-0.0029296875,-0.26392936706543,-0.0029296875,-1.88947677612305,-0.0029296875,-1.09839916229248,-0.0029296875,-0.467538833618164,-0.0029296875,-1.11127376556396,-0.0029296875,-0.681643486022949,-0.0029296875,-0.41651725769043,-0.0029296875,-0.396966934204102
-0.00394535064697266,-0.29444694519043,-0.0039453506469726,-1.89043045043945,-0.0039453506469726,-1.08075618743896,-0.0039453506469726,-0.472784042358398,-0.0039453506469726,-1.10459804534912,-0.0039453506469726,-0.673060417175293,-0.0039453506469726,-0.405550003051758,-0.0039453506469726,-0.404596328735352
-0.0048828125,-0.275850296020508,-0.0048828125,-1.87517166137695,-0.0048828125,-1.11270427703857,-0.0048828125,-0.470161437988281,-0.0048828125,-1.08743190765381,-0.0048828125,-0.684027671813965,-0.0048828125,-0.41508674621582,-0.0048828125,-0.396013259887695
-0.00589847564697266,-0.297784805297852,-0.0058984756469726,-1.85132503509521,-0.0058984756469726,-1.0707426071167,-0.0058984756469726,-0.473737716674805,-0.0058984756469726,-1.10888957977295,-0.0058984756469726,-0.664477348327637,-0.0058984756469726,-0.410318374633789,-0.0058984756469726,-0.394105911254883
-0.00691413879394531,-0.284433364868164,-0.0069141387939453,-1.84321880340576,-0.0069141387939453,-1.07503414154053,-0.0069141387939453,-0.466585159301758,-0.0069141387939453,-1.12557888031006,-0.0069141387939453,-0.663046836853027,-0.0069141387939453,-0.40745735168457,-0.0069141387939453,-0.390768051147461
-0.00792980194091797,-0.304460525512695,-0.0079298019409179,-1.82700634002686,-0.0079298019409179,-1.06645107269287,-0.0079298019409179,-0.461816787719727,-0.0079298019409179,-1.09220027923584,-0.0079298019409179,-0.66352367401123,-0.0079298019409179,-0.427484512329102,-0.0079298019409179,-0.390291213989258
-0.00886726379394531,-0.277280807495117,-0.0088672637939453,-1.84560298919678,-0.0088672637939453,-1.06597423553467,-0.0088672637939453,-0.469446182250977,-0.0088672637939453,-1.09124660491943,-0.0088672637939453,-0.674014091491699,-0.0088672637939453,-0.437498092651367,-0.0088672637939453,-0.394582748413086
-0.00988292694091797,-0.305891036987305,-0.0098829269409179,-1.81603908538818,-0.0098829269409179,-1.06168270111084,-0.0098829269409179,-0.452280044555664,-0.0098829269409179,-1.1007833480835,-0.0098829269409179,-0.666384696960449,-0.0098829269409179,-0.418424606323242,-0.0098829269409179,-0.390291213989258
-0.0108985900878906,-0.306367874145508,-0.0108985900878906,-1.83034420013428,-0.0108985900878906,-1.03784084320068,-0.0108985900878906,-0.437498092651367,-0.0108985900878906,-1.11175060272217,-0.0108985900878906,-0.649218559265137,-0.0108985900878906,-0.410318374633789,-0.0108985900878906,-0.402688980102539
-0.011836051940918,-0.301599502563477,-0.011836051940918,-1.82176113128662,-0.011836051940918,-1.06359004974365,-0.011836051940918,-0.464200973510742,-0.011836051940918,-1.1165189743042,-0.011836051940918,-0.670199394226074,-0.011836051940918,-0.404119491577148,-0.011836051940918,-0.369787216186523
-0.0128517150878906,-0.282526016235352,-0.0128517150878906,-1.80888652801514,-0.0128517150878906,-1.0407018661499,-0.0128517150878906,-0.43797492980957,-0.0128517150878906,-1.10698223114014,-0.0128517150878906,-0.650649070739746,-0.0128517150878906,-0.407934188842773,-0.0128517150878906,-0.399351119995117
-0.0138673782348633,-0.306367874145508,-0.0138673782348633,-1.80697917938232,-0.0138673782348633,-1.03879451751709,-0.0138673782348633,-0.447988510131836,-0.0138673782348633,-1.10507488250732,-0.0138673782348633,-0.669245719909668,-0.0138673782348633,-0.396966934204102,-0.0138673782348633,-0.38599967956543
-0.0148048400878906,-0.277280807495117,-0.0148048400878906,-1.79839611053467,-0.0148048400878906,-1.0407018661499,-0.0148048400878906,-0.440359115600586,-0.0148048400878906,-1.11175060272217,-0.0148048400878906,-0.652556419372559,-0.0148048400878906,-0.400304794311523,-0.0148048400878906,-0.357389450073242
-0.0158205032348633,-0.305414199829102,-0.0158205032348633,-1.79362773895264,-0.0158205032348633,-1.03784084320068,-0.0158205032348633,-0.450849533081055,-0.0158205032348633,-1.09267711639404,-0.0158205032348633,-0.661616325378418,-0.0158205032348633,-0.421285629272461,-0.0158205032348633,-0.397920608520508
-0.0168361663818359,-0.289678573608398,-0.0168361663818359,-1.8036413192749,-0.0168361663818359,-1.03831768035889,-0.0168361663818359,-0.456094741821289,-0.0168361663818359,-1.11794948577881,-0.0168361663818359,-0.646834373474121,-0.0168361663818359,-0.420808792114258,-0.0168361663818359,-0.413179397583008
-0.0178518295288086,-0.281095504760742,-0.0178518295288086,-1.7726469039917,-0.0178518295288086,-1.03545665740967,-0.0178518295288086,-0.421285629272461,-0.0178518295288086,-1.08695507049561,-0.0178518295288086,-0.661616325378418,-0.0178518295288086,-0.406026840209961,-0.0178518295288086,-0.371217727661133
-0.0187892913818359,-0.268220901489258,-0.0187892913818359,-1.75929546356201,-0.0187892913818359,-1.03688716888428,-0.0187892913818359,-0.426530838012695,-0.0187892913818359,-1.09601497650146,-0.0187892913818359,-0.67878246307373,-0.0187892913818359,-0.405073165893555,-0.0187892913818359,-0.375986099243164
-0.0198049545288086,-0.273466110229492,-0.0198049545288086,-1.77407741546631,-0.0198049545288086,-1.00589275360107,-0.0198049545288086,-0.435590744018555,-0.0198049545288086,-1.10221385955811,-0.0198049545288086,-0.672106742858887,-0.0198049545288086,-0.396013259887695,-0.0198049545288086,-0.39219856262207
-0.0208206176757813,-0.289201736450195,-0.0208206176757813,-1.76930904388428,-0.0208206176757813,-1.01209163665771,-0.0208206176757813,-0.446557998657227,-0.0208206176757813,-1.08457088470459,-0.0208206176757813,-0.663046836853027,-0.0208206176757813,-0.401735305786133,-0.0208206176757813,-0.387907028198242
-0.0217580795288086,-0.281095504760742,-0.0217580795288086,-1.75500392913818,-0.0217580795288086,-0.996832847595215,-0.0217580795288086,-0.44095516204834,-0.0217580795288086,-1.10316753387451,-0.0217580795288086,-0.662093162536621,-0.0217580795288086,-0.409364700317383,-0.0217580795288086,-0.375509262084961
-0.0227737426757813,-0.27155876159668,-0.0227737426757813,-1.74355983734131,-0.0227737426757813,-1.00064754486084,-0.0227737426757813,-0.446081161499023,-0.0227737426757813,-1.0860013961792,-0.0227737426757813,-0.646834373474121,-0.0227737426757813,-0.405669212341309,-0.0227737426757813,-0.387907028198242
-0.0237894058227539,-0.291585922241211,-0.0237894058227539,-1.73306941986084,-0.0237894058227539,-1.0092306137085,-0.0237894058227539,-0.435590744018555,-0.0237894058227539,-1.08314037322998,-0.0237894058227539,-0.642542839050293,-0.0237894058227539,-0.407934188842773,-0.0237894058227539,-0.378847122192383
-0.0247268676757813,-0.283002853393555,-0.0247268676757813,-1.73306941986084,-0.0247268676757813,-1.00505828857422,-0.0247268676757813,-0.425577163696289,-0.0247268676757813,-1.08075618743896,-0.0247268676757813,-0.647311210632324,-0.0247268676757813,-0.403642654418945,-0.0247268676757813,-0.363588333129883
-0.0257425308227539,-0.303030014038086,-0.0257425308227539,-1.71685695648193,-0.0257425308227539,-1.00350856781006,-0.0257425308227539,-0.414609909057617,-0.0257425308227539,-1.07789516448975,-0.0257425308227539,-0.64826488494873,-0.0257425308227539,-0.382661819458008,-0.0257425308227539,-0.376224517822266
-0.0267581939697266,-0.272989273071289,-0.0267581939697266,-1.726393699646,-0.0267581939697266,-1.00684642791748,-0.0267581939697266,-0.421285629272461,-0.0267581939697266,-1.07598781585693,-0.0267581939697266,-0.642542839050293,-0.0267581939697266,-0.39219856262207,-0.0267581939697266,-0.379800796508789
-0.0276956558227539,-0.303506851196289,-0.0276956558227539,-1.70970439910889,-0.0276956558227539,-1.00589275360107,-0.0276956558227539,-0.438928604125977,-0.0276956558227539,-1.07908725738525,-0.0276956558227539,-0.638251304626465,-0.0276956558227539,-0.404119491577148,-0.0276956558227539,-0.382661819458008
-0.0287113189697266,-0.316858291625977,-0.0287113189697266,-1.71494960784912,-0.0287113189697266,-0.996594429016113,-0.0287113189697266,-0.40888786315918,-0.0287113189697266,-1.08504772186279,-0.0287113189697266,-0.653510093688965,-0.0287113189697266,-0.392675399780273,-0.0287113189697266,-0.39219856262207
-0.0297269821166992,-0.274419784545898,-0.0297269821166992,-1.71781063079834,-0.0297269821166992,-0.988249778747559,-0.0297269821166992,-0.425577163696289,-0.0297269821166992,-1.07741832733154,-0.0297269821166992,-0.642542839050293,-0.0297269821166992,-0.394582748413086,-0.0297269821166992,-0.365495681762695
-0.0307426452636719,-0.298738479614258,-0.0307426452636719,-1.68633937835693,-0.0307426452636719,-0.98538875579834,-0.0307426452636719,-0.400304794311523,-0.0307426452636719,-1.08218669891357,-0.0307426452636719,-0.645880699157715,-0.0307426452636719,-0.402688980102539,-0.0307426452636719,-0.383615493774414
-0.0316801071166992,-0.288724899291992,-0.0316801071166992,-1.695876121521,-0.0316801071166992,-0.981097221374512,-0.0316801071166992,-0.423669815063477,-0.0316801071166992,-1.10888957977295,-0.0316801071166992,-0.640158653259277,-0.0316801071166992,-0.416040420532227,-0.0316801071166992,-0.362634658813477
-0.0326957702636719,-0.287771224975586,-0.0326957702636719,-1.68681621551514,-0.0326957702636719,-0.971918106079102,-0.0326957702636719,-0.409364700317383,-0.0326957702636719,-1.07264995574951,-0.0326957702636719,-0.640158653259277,-0.0326957702636719,-0.395536422729492,-0.0326957702636719,-0.390291213989258
-0.0337114334106445,-0.293970108032227,-0.0337114334106445,-1.66774272918701,-0.0337114334106445,-0.96107006072998,-0.0337114334106445,-0.423669815063477,-0.0337114334106445,-1.10841274261475,-0.0337114334106445,-0.647788047790527,-0.0337114334106445,-0.400304794311523,-0.0337114334106445,-0.379323959350586
-0.0346488952636719,-0.304460525512695,-0.0346488952636719,-1.67680263519287,-0.0346488952636719,-0.960116386413574,-0.0346488952636719,-0.411272048950195,-0.0346488952636719,-1.085524559021,-0.0346488952636719,-0.654940605163574,-0.0346488952636719,-0.410318374633789,-0.0346488952636719,-0.349760055541992
-0.0356645584106445,-0.298738479614258,-0.0356645584106445,-1.67918682098389,-0.0356645584106445,-0.956778526306152,-0.0356645584106445,-0.41651725769043,-0.0356645584106445,-1.09553813934326,-0.0356645584106445,-0.666384696960449,-0.0356645584106445,-0.414609909057617,-0.0356645584106445,-0.36311149597168
-0.0366802215576172,-0.282049179077148,-0.0366802215576172,-1.6658353805542,-0.0366802215576172,-0.960354804992676,-0.0366802215576172,-0.417947769165039,-0.0366802215576172,-1.0860013961792,-0.0366802215576172,-0.65732479095459,-0.0366802215576172,-0.409841537475586,-0.0366802215576172,-0.342130661010742
-0.0376176834106445,-0.274896621704102,-0.0376176834106445,-1.64628505706787,-0.0376176834106445,-0.958685874938965,-0.0376176834106445,-0.420331954956055,-0.0376176834106445,-1.06311321258545,-0.0376176834106445,-0.651125907897949,-0.0376176834106445,-0.406026840209961,-0.0376176834106445,-0.340700149536133
-0.0386333465576172,-0.291585922241211,-0.0386333465576172,-1.6510534286499,-0.0386333465576172,-0.965838432312012,-0.0386333465576172,-0.438928604125977,-0.0386333465576172,-1.08314037322998,-0.0386333465576172,-0.656847953796387,-0.0386333465576172,-0.404715538024902,-0.0386333465576172,-0.352621078491211
-0.0396490097045898,-0.274419784545898,-0.0396490097045898,-1.65963649749756,-0.0396490097045898,-0.956778526306152,-0.0396490097045898,-0.397443771362305,-0.0396490097045898,-1.09696865081787,-0.0396490097045898,-0.64063549041748,-0.0396490097045898,-0.401735305786133,-0.0396490097045898,-0.364065170288086
-0.0406637191772461,-0.305891036987305,-0.0406637191772461,-1.64628505706787,-0.0406637191772461,-0.940566062927246,-0.0406637191772461,-0.427961349487305,-0.0406637191772461,-1.06931209564209,-0.0406637191772461,-0.636343955993652,-0.0406637191772461,-0.40125846862793,-0.0406637191772461,-0.367879867553711
