V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.707869529724121,-0.0009765625,-0.68021297454834,-0.0009765625,-0.245332717895508,-0.0009765625,-1.05786800384521,-0.0009765625,-0.22435188293457,-0.0009765625,-0.34642219543457,-0.0009765625,-0.17094612121582,-0.0009765625,-0.211477279663086
-0.00191402435302734,-0.693087577819824,-0.0019140243530273,-0.67115306854248,-0.0019140243530273,-0.238656997680664,-0.0019140243530273,-1.04499340057373,-0.0019140243530273,-0.219583511352539,-0.0019140243530273,-0.342607498168945,-0.0019140243530273,-0.176668167114258,-0.0019140243530273,-0.212430953979492
-0.0029296875,-0.683073997497559,-0.0029296875,-0.661616325378418,-0.0029296875,-0.242471694946289,-0.0029296875,-1.03450298309326,-0.0029296875,-0.219106674194336,-0.0029296875,-0.335454940795898,-0.0029296875,-0.168561935424805,-0.0029296875,-0.203371047973633
-0.00394535064697266,-0.676398277282715,-0.0039453506469726,-0.658278465270996,-0.0039453506469726,-0.236272811889648,-0.0039453506469726,-1.02782726287842,-0.0039453506469726,-0.215291976928711,-0.0039453506469726,-0.336408615112305,-0.0039453506469726,-0.172853469848633,-0.0039453506469726,-0.199079513549805
-0.0048828125,-0.676875114440918,-0.0048828125,-0.65732479095459,-0.0048828125,-0.233888626098633,-0.0048828125,-1.01972103118896,-0.0048828125,-0.215768814086914,-0.0048828125,-0.336647033691406,-0.0048828125,-0.171422958374023,-0.0048828125,-0.200033187866211
-0.00589847564697266,-0.668292045593262,-0.0058984756469726,-0.652079582214355,-0.0058984756469726,-0.23341178894043,-0.0058984756469726,-1.01542949676514,-0.0058984756469726,-0.217199325561523,-0.0058984756469726,-0.336587429046631,-0.0058984756469726,-0.17094612121582,-0.0058984756469726,-0.199079513549805
-0.00691413879394531,-0.667338371276855,-0.0069141387939453,-0.653033256530762,-0.0069141387939453,-0.230550765991211,-0.0069141387939453,-1.0092306137085,-0.0069141387939453,-0.222444534301758,-0.0069141387939453,-0.336408615112305,-0.0069141387939453,-0.169515609741211,-0.0069141387939453,-0.199079513549805
-0.00792980194091797,-0.664477348327637,-0.0079298019409179,-0.644450187683105,-0.0079298019409179,-0.231504440307617,-0.0079298019409179,-1.00112438201904,-0.0079298019409179,-0.221014022827148,-0.0079298019409179,-0.333473086357117,-0.0079298019409179,-0.174760818481445,-0.0079298019409179,-0.200510025024414
-0.00886726379394531,-0.64969539642334,-0.0088672637939453,-0.644450187683105,-0.0088672637939453,-0.228643417358398,-0.0088672637939453,-0.99921703338623,-0.0088672637939453,-0.215291976928711,-0.0088672637939453,-0.33116340637207,-0.0088672637939453,-0.17237663269043,-0.0088672637939453,-0.200033187866211
-0.00988292694091797,-0.646834373474121,-0.0098829269409179,-0.644450187683105,-0.0098829269409179,-0.228643417358398,-0.0098829269409179,-0.99158763885498,-0.0098829269409179,-0.211000442504883,-0.0098829269409179,-0.329732894897461,-0.0098829269409179,-0.169992446899414,-0.0098829269409179,-0.192403793334961
