V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-0.670676231384277,-0.0009765625,-0.78559398651123,-0.0009765625,-0.282049179077148,-0.0009765625,-0.894789695739746,-0.0009765625,-0.230073928833008,-0.0009765625,-0.63443660736084,-0.0009765625,-0.240564346313477,-0.0009765625,-0.26392936706543
-0.00191402435302734,-0.659708976745605,-0.0019140243530273,-0.772719383239746,-0.0019140243530273,-0.277280807495117,-0.0019140243530273,-0.880484580993652,-0.0019140243530273,-0.220537185668945,-0.0019140243530273,-0.620126724243164,-0.0019140243530273,-0.233888626098633,-0.0019140243530273,-0.257730484008789
-0.0029296875,-0.652079582214355,-0.0029296875,-0.766997337341309,-0.0029296875,-0.272989273071289,-0.0029296875,-0.874285697937012,-0.0029296875,-0.222444534301758,-0.0029296875,-0.614404678344727,-0.0029296875,-0.240087509155273,-0.0029296875,-0.255823135375977
-0.00394535064697266,-0.643496513366699,-0.0039453506469726,-0.763659477233887,-0.0039453506469726,-0.275373458862305,-0.0039453506469726,-0.875716209411621,-0.0039453506469726,-0.221014022827148,-0.0039453506469726,-0.604391098022461,-0.0039453506469726,-0.241994857788086,-0.0039453506469726,-0.25486946105957
-0.0048828125,-0.636343955993652,-0.0048828125,-0.760798454284668,-0.0048828125,-0.270605087280273,-0.0048828125,-0.87094783782959,-0.0048828125,-0.220060348510742,-0.0048828125,-0.603437423706055,-0.0048828125,-0.23961067199707,-0.0048828125,-0.251531600952148
-0.00589847564697266,-0.637297630310059,-0.0058984756469726,-0.756983757019043,-0.0058984756469726,-0.272989273071289,-0.0058984756469726,-0.864272117614746,-0.0058984756469726,-0.218510627746582,-0.0058984756469726,-0.596761703491211,-0.0058984756469726,-0.241518020629883,-0.0058984756469726,-0.249624252319336
-0.00691413879394531,-0.628237724304199,-0.0069141387939453,-0.754599571228027,-0.0069141387939453,-0.270605087280273,-0.0069141387939453,-0.864272117614746,-0.0069141387939453,-0.215768814086914,-0.0069141387939453,-0.59199333190918,-0.0069141387939453,-0.238180160522461,-0.0069141387939453,-0.247716903686523
-0.00792980194091797,-0.625853538513184,-0.0079298019409179,-0.751261711120605,-0.0079298019409179,-0.265359878540039,-0.0079298019409179,-0.862364768981934,-0.0079298019409179,-0.217199325561523,-0.0079298019409179,-0.586271286010742,-0.0079298019409179,-0.243902206420898,-0.0079298019409179,-0.24867057800293
-0.00886726379394531,-0.616312026977539,-0.0088672637939453,-0.748400688171387,-0.0088672637939453,-0.262022018432617,-0.0088672637939453,-0.85568904876709,-0.0088672637939453,-0.213861465454102,-0.0088672637939453,-0.579595565795898,-0.0088672637939453,-0.24104118347168,-0.0088672637939453,-0.247716903686523
-0.00988292694091797,-0.613927841186523,-0.0098829269409179,-0.745062828063965,-0.0098829269409179,-0.259160995483398,-0.0098829269409179,-0.85568904876709,-0.0098829269409179,-0.211954116821289,-0.0098829269409179,-0.574350357055664,-0.0098829269409179,-0.23961067199707,-0.0098829269409179,-0.245809555053711
-0.0108985900878906,-0.608205795288086,-0.0108985900878906,-0.74124813079834,-0.0108985900878906,-0.259160995483398,-0.0108985900878906,-0.852828025817871,-0.0108985900878906,-0.213384628295898,-0.0108985900878906,-0.568628311157227,-0.0108985900878906,-0.239133834838867,-0.0108985900878906,-0.243425369262695
-0.011836051940918,-0.59819221496582,-0.011836051940918,-0.736479759216309,-0.011836051940918,-0.257730484008789,-0.011836051940918,-0.850920677185059,-0.011836051940918,-0.211000442504883,-0.011836051940918,-0.565767288208008,-0.011836051940918,-0.23961067199707,-0.011836051940918,-0.243902206420898
-0.0128517150878906,-0.600576400756836,-0.0128517150878906,-0.732665061950684,-0.0128517150878906,-0.256776809692383,-0.0128517150878906,-0.84662914276123,-0.0128517150878906,-0.208616256713867,-0.0128517150878906,-0.563383102416992,-0.0128517150878906,-0.243902206420898,-0.0128517150878906,-0.240564346313477
-0.0138673782348633,-0.59199333190918,-0.0138673782348633,-0.731711387634277,-0.0138673782348633,-0.253438949584961,-0.0138673782348633,-0.84662914276123,-0.0138673782348633,-0.20909309387207,-0.0138673782348633,-0.555276870727539,-0.0138673782348633,-0.241518020629883,-0.0138673782348633,-0.237703323364258
-0.0148048400878906,-0.587224960327148,-0.0148048400878906,-0.729804039001465,-0.0148048400878906,-0.246763229370117,-0.0148048400878906,-0.842814445495605,-0.0148048400878906,-0.206708908081055,-0.0148048400878906,-0.55241584777832,-0.0148048400878906,-0.238656997680664,-0.0148048400878906,-0.239133834838867
-0.0158205032348633,-0.585794448852539,-0.0158205032348633,-0.725035667419434,-0.0158205032348633,-0.243902206420898,-0.0158205032348633,-0.840907096862793,-0.0158205032348633,-0.206708908081055,-0.0158205032348633,-0.547647476196289,-0.0158205032348633,-0.241994857788086,-0.0158205032348633,-0.236749649047852
-0.0168361663818359,-0.577688217163086,-0.0168361663818359,-0.723128318786621,-0.0168361663818359,-0.240564346313477,-0.0168361663818359,-0.838522911071777,-0.0168361663818359,-0.208139419555664,-0.0168361663818359,-0.541925430297852,-0.0168361663818359,-0.248193740844727,-0.0168361663818359,-0.236749649047852
-0.0178518295288086,-0.574350357055664,-0.0178518295288086,-0.719313621520996,-0.0178518295288086,-0.242948532104492,-0.0178518295288086,-0.832324028015137,-0.0178518295288086,-0.206589698791504,-0.0178518295288086,-0.543355941772461,-0.0178518295288086,-0.242948532104492,-0.0178518295288086,-0.234603881835938
