V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7
-0.0009765625,-1.69539928436279,-0.0009765625,-1.65296077728271,-0.0009765625,-0.672106742858887,-0.0009765625,-2.09022521972656,-0.0009765625,-0.459909439086914,-0.0009765625,-1.22905254364014,-0.0009765625,-0.653033256530762,-0.0009765625,-1.22094631195068
-0.00191402435302734,-1.64771556854248,-0.0019140243530273,-1.63197994232178,-0.0019140243530273,-0.658278465270996,-0.0019140243530273,-2.05446243286133,-0.0019140243530273,-0.453710556030273,-0.0019140243530273,-1.19996547698975,-0.0019140243530273,-0.64063549041748,-0.0019140243530273,-1.18995189666748
-0.0029296875,-1.62148952484131,-0.0029296875,-1.6200590133667,-0.0029296875,-0.651602745056152,-0.0029296875,-2.04444885253906,-0.0029296875,-0.448465347290039,-0.0029296875,-1.18232250213623,-0.0029296875,-0.638728141784668,-0.0029296875,-1.17230892181396
-0.00394535064697266,-1.60146236419678,-0.0039453506469726,-1.61290645599365,-0.0039453506469726,-0.647311210632324,-0.0039453506469726,-2.02775955200195,-0.0039453506469726,-0.443696975708008,-0.0039453506469726,-1.16944789886475,-0.0039453506469726,-0.638251304626465,-0.0039453506469726,-1.15561962127686
-0.0048828125,-1.58143520355225,-0.0048828125,-1.60575389862061,-0.0048828125,-0.634913444519043,-0.0048828125,-2.01536178588867,-0.0048828125,-0.435113906860352,-0.0048828125,-1.15228176116943,-0.0048828125,-0.636343955993652,-0.0048828125,-1.14131450653076
-0.00589847564697266,-1.56522274017334,-0.0058984756469726,-1.59860134124756,-0.0058984756469726,-0.631098747253418,-0.0058984756469726,-2.00105667114258,-0.0058984756469726,-0.437021255493164,-0.0058984756469726,-1.14417552947998,-0.0058984756469726,-0.63443660736084,-0.0058984756469726,-1.12748622894287
-0.00691413879394531,-1.54853343963623,-0.0069141387939453,-1.59192562103271,-0.0069141387939453,-0.622987747192383,-0.0069141387939453,-1.99008941650391,-0.0069141387939453,-0.428438186645508,-0.0069141387939453,-1.12891674041748,-0.0069141387939453,-0.635867118835449,-0.0069141387939453,-1.11508846282959
-0.00792980194091797,-1.53565883636475,-0.0079298019409179,-1.58191204071045,-0.0079298019409179,-0.620126724243164,-0.0079298019409179,-1.97769165039063,-0.0079298019409179,-0.427961349487305,-0.0079298019409179,-1.11794948577881,-0.0079298019409179,-0.632052421569824,-0.0079298019409179,-1.1007833480835
-0.00886726379394531,-1.51563167572021,-0.0088672637939453,-1.57523632049561,-0.0088672637939453,-0.612974166870117,-0.0088672637939453,-1.96767807006836,-0.0088672637939453,-0.424623489379883,-0.0088672637939453,-1.10364437103271,-0.0088672637939453,-0.633482933044434,-0.0088672637939453,-1.08790874481201
-0.00988292694091797,-1.49989604949951,-0.0098829269409179,-1.56569957733154,-0.0098829269409179,-0.606775283813477,-0.0098829269409179,-1.95098876953125,-0.0098829269409179,-0.420331954956055,-0.0098829269409179,-1.09267711639404,-0.0098829269409179,-0.63443660736084,-0.0098829269409179,-1.07408046722412
-0.0108985900878906,-1.48559093475342,-0.0108985900878906,-1.56140804290771,-0.0108985900878906,-0.59962272644043,-0.0108985900878906,-1.94145202636719,-0.0108985900878906,-0.41508674621582,-0.0108985900878906,-1.07789516448975,-0.0108985900878906,-0.635867118835449,-0.0108985900878906,-1.05977535247803
-0.011836051940918,-1.4669942855835,-0.011836051940918,-1.55425548553467,-0.011836051940918,-0.596284866333008,-0.011836051940918,-1.93191528320313,-0.011836051940918,-0.413179397583008,-0.011836051940918,-1.0702657699585,-0.011836051940918,-0.635390281677246,-0.011836051940918,-1.04976177215576
-0.0128517150878906,-1.4522123336792,-0.0128517150878906,-1.54710292816162,-0.0128517150878906,-0.59056282043457,-0.0128517150878906,-1.91856384277344,-0.0128517150878906,-0.408411026000977,-0.0128517150878906,-1.05929851531982,-0.0128517150878906,-0.636343955993652,-0.0128517150878906,-1.03688716888428
-0.0138673782348633,-1.4374303817749,-0.0138673782348633,-1.53947353363037,-0.0138673782348633,-0.585794448852539,-0.0138673782348633,-1.90807342529297,-0.0138673782348633,-0.406503677368164,-0.0138673782348633,-1.04880809783936,-0.0138673782348633,-0.636820793151855,-0.0138673782348633,-1.02210521697998
-0.0148048400878906,-1.4221715927124,-0.0148048400878906,-1.53279781341553,-0.0148048400878906,-0.577211380004883,-0.0148048400878906,-1.89853668212891,-0.0148048400878906,-0.406503677368164,-0.0148048400878906,-1.03593349456787,-0.0148048400878906,-0.634913444519043,-0.0148048400878906,-1.01209163665771
-0.0158205032348633,-1.40834331512451,-0.0158205032348633,-1.52516841888428,-0.0158205032348633,-0.573396682739258,-0.0158205032348633,-1.88518524169922,-0.0158205032348633,-0.398397445678711,-0.0158205032348633,-1.024489402771,-0.0158205032348633,-0.63300609588623,-0.0158205032348633,-1.00255489349365
-0.0168361663818359,-1.39594554901123,-0.0168361663818359,-1.52135372161865,-0.0168361663818359,-0.56767463684082,-0.0168361663818359,-1.87517166137695,-0.0168361663818359,-0.398397445678711,-0.0168361663818359,-1.01352214813232,-0.0168361663818359,-0.632052421569824,-0.0168361663818359,-0.99158763885498
-0.0178518295288086,-1.38020992279053,-0.0178518295288086,-1.512770652771,-0.0178518295288086,-0.563383102416992,-0.0178518295288086,-1.86658382415771,-0.0178518295288086,-0.396490097045898,-0.0178518295288086,-1.00541591644287,-0.0178518295288086,-0.635390281677246,-0.0178518295288086,-0.978236198425293
-0.0187892913818359,-1.36161327362061,-0.0187892913818359,-1.50466442108154,-0.0187892913818359,-0.556230545043945,-0.0187892913818359,-1.85227870941162,-0.0187892913818359,-0.389814376831055,-0.0187892913818359,-0.991110801696777,-0.0187892913818359,-0.63443660736084,-0.0187892913818359,-0.969176292419434
-0.0198049545288086,-1.34969234466553,-0.0198049545288086,-1.49703502655029,-0.0198049545288086,-0.547647476196289,-0.0198049545288086,-1.84131145477295,-0.0198049545288086,-0.388383865356445,-0.0198049545288086,-0.979189872741699,-0.0198049545288086,-0.635867118835449,-0.0198049545288086,-0.952010154724121
-0.0208206176757813,-1.33634090423584,-0.0208206176757813,-1.49035930633545,-0.0208206176757813,-0.54621696472168,-0.0208206176757813,-1.83272838592529,-0.0208206176757813,-0.386953353881836,-0.0208206176757813,-0.973944664001465,-0.0208206176757813,-0.638728141784668,-0.0208206176757813,-0.947718620300293
-0.0217580795288086,-1.32108211517334,-0.0217580795288086,-1.48368358612061,-0.0217580795288086,-0.536680221557617,-0.0217580795288086,-1.82366847991943,-0.0217580795288086,-0.383615493774414,-0.0217580795288086,-0.967268943786621,-0.0217580795288086,-0.633482933044434,-0.0217580795288086,-0.934844017028809
-0.0227737426757813,-1.30677700042725,-0.0227737426757813,-1.47748470306396,-0.0227737426757813,-0.533819198608398,-0.0227737426757813,-1.81460857391357,-0.0227737426757813,-0.383138656616211,-0.0227737426757813,-0.957732200622559,-0.0227737426757813,-0.637774467468262,-0.0227737426757813,-0.92435359954834
-0.0237894058227539,-1.29390239715576,-0.0237894058227539,-1.46937847137451,-0.0237894058227539,-0.528573989868164,-0.0237894058227539,-1.80173397064209,-0.0237894058227539,-0.37837028503418,-0.0237894058227539,-0.945334434509277,-0.0237894058227539,-0.63443660736084,-0.0237894058227539,-0.910525321960449
