V,µA,V.1,µA.1,V.2,µA.2,V.3,µA.3,V.4,µA.4,V.5,µA.5,V.6,µA.6,V.7,µA.7,V.8,µA.8
-0.31089973449707,-0.0379085540771484,-0.31089973449707,-0.131368637084961,-0.31089973449707,-0.0183582305908203,-0.31089973449707,-0.24724006652832,-0.31089973449707,-0.0307559967041016,-0.31089973449707,-0.0479221343994141,-0.31089973449707,-0.0312328338623047,-0.31089973449707,-0.0364780426025391,-0.31089973449707,-5.85611511875472e-05
-0.311915397644043,-0.0379085540771484,-0.311915397644043,-0.131368637084961,-0.311915397644043,-0.0178813934326172,-0.311915397644043,-0.248193740844727,-0.311915397644043,-0.0312328338623047,-0.311915397644043,-0.0483989715576172,-0.311915397644043,-0.0321865081787109,-0.311915397644043,-0.0369548797607422,-0.311915397644043,-8.00937414169173e-05
-0.312931060791016,-0.0379085540771484,-0.312931060791016,-0.131368637084961,-0.312931060791016,-0.0188350677490234,-0.312931060791016,-0.247716903686523,-0.312931060791016,-0.0298023223876953,-0.312931060791016,-0.0488758087158203,-0.312931060791016,-0.0317096710205078,-0.312931060791016,-0.0374317169189453,-0.312931060791016,-0.0001012037197748
-0.313946723937988,-0.0383853912353516,-0.313946723937988,-0.131845474243164,-0.313946723937988,-0.0174045562744141,-0.313946723937988,-0.247716903686523,-0.313946723937988,-0.0307559967041016,-0.313946723937988,-0.0483989715576172,-0.313946723937988,-0.0319480895996094,-0.313946723937988,-0.0360012054443359,-0.313946723937988,-0.0005995734682073
-0.314884185791016,-0.0383853912353516,-0.314884185791016,-0.131845474243164,-0.314884185791016,-0.0183582305908203,-0.314884185791016,-0.248193740844727,-0.314884185791016,-0.0321865081787109,-0.314884185791016,-0.0482797622680664,-0.314884185791016,-0.0317096710205078,-0.314884185791016,-0.0364780426025391,-0.314884185791016,-0.0006198382228224
-0.315899848937988,-0.0379085540771484,-0.315899848937988,-0.131368637084961,-0.315899848937988,-0.0183582305908203,-0.315899848937988,-0.248193740844727,-0.315899848937988,-0.0317096710205078,-0.315899848937988,-0.0479221343994141,-0.315899848937988,-0.0321865081787109,-0.315899848937988,-0.0374317169189453,-0.315899848937988,-0.000164740813564
-0.316915512084961,-0.0379085540771484,-0.316915512084961,-0.131368637084961,-0.316915512084961,-0.0183582305908203,-0.316915512084961,-0.247716903686523,-0.316915512084961,-0.0320672988891602,-0.316915512084961,-0.0479221343994141,-0.316915512084961,-0.0317096710205078,-0.316915512084961,-0.0379085540771484,-0.316915512084961,-0.0001862651093526
-0.317852973937988,-0.0383853912353516,-0.317852973937988,-0.132322311401367,-0.317852973937988,-0.0183582305908203,-0.317852973937988,-0.24867057800293,-0.317852973937988,-0.0321865081787109,-0.317852973937988,-0.0474452972412109,-0.317852973937988,-0.0307559967041016,-0.317852973937988,-0.0383853912353516,-0.317852973937988,-0.0006829692936217
-0.318868637084961,-0.0379085540771484,-0.318868637084961,-0.131368637084961,-0.318868637084961,-0.0197887420654297,-0.318868637084961,-0.248193740844727,-0.318868637084961,-0.0321865081787109,-0.318868637084961,-0.0479221343994141,-0.318868637084961,-0.0312328338623047,-0.318868637084961,-0.0383853912353516,-0.318868637084961,-0.0002276564312072
-0.319884300231934,-0.0374317169189453,-0.319884300231934,-0.132322311401367,-0.319884300231934,-0.0178813934326172,-0.319884300231934,-0.249147415161133,-0.319884300231934,-0.0321865081787109,-0.319884300231934,-0.0488758087158203,-0.319884300231934,-0.0307559967041016,-0.319884300231934,-0.0388622283935547,-0.319884300231934,0.0
-0.320821762084961,-0.0383853912353516,-0.320821762084961,-0.131845474243164,-0.320821762084961,-0.0193119049072266,-0.320821762084961,-0.249147415161133,-0.320821762084961,-0.0317096710205078,-0.320821762084961,-0.0474452972412109,-0.320821762084961,-0.0312328338623047,-0.320821762084961,-0.0393390655517578,-0.320821762084961,-0.0007348587839967
-0.321837425231934,-0.0374317169189453,-0.321837425231934,-0.132203102111816,-0.321837425231934,-0.0188350677490234,-0.321837425231934,-0.248908996582031,-0.321837425231934,-0.0326633453369141,-0.321837425231934,-0.0483989715576172,-0.321837425231934,-0.0326633453369141,-0.321837425231934,-0.0398159027099609,-0.321837425231934,0.0
-0.322853088378906,-0.0379085540771484,-0.322853088378906,-0.132322311401367,-0.322853088378906,-0.0188350677490234,-0.322853088378906,-0.24867057800293,-0.322853088378906,-0.0321865081787109,-0.322853088378906,-0.0488758087158203,-0.322853088378906,-0.0317096710205078,-0.322853088378906,-0.0393390655517578,-0.322853088378906,-0.0002847777472601
-0.323868751525879,-0.0388622283935547,-0.323868751525879,-0.132322311401367,-0.323868751525879,-0.0183582305908203,-0.323868751525879,-0.24867057800293,-0.323868751525879,-0.0326633453369141,-0.323868751525879,-0.0479221343994141,-0.323868751525879,-0.0321865081787109,-0.323868751525879,-0.0398159027099609,-0.323868751525879,-0.0012519627085162
-0.324806213378906,-0.0388622283935547,-0.324806213378906,-0.13279914855957,-0.324806213378906,-0.0178813934326172,-0.324806213378906,-0.248908996582031,-0.324806213378906,-0.0340938568115234,-0.324806213378906,-0.0483989715576172,-0.324806213378906,-0.0317096710205078,-0.324806213378906,-0.0412464141845703,-0.324806213378906,-0.0012646778486668
